都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
静岡県,"富士市,",道路台帳,写測図化,1000,93.6KM2,静岡県富士市助言611223E3134,(株)パスコ,"61.09.17,63.03.10",611774
静岡県,"豊岡村,",管内図作成,写測図化,2500,40.1KM2,静岡県豊岡村助言610513E3018,(株)フジヤマ,"61.05.20,61.11.25",610146
静岡県,"磐田市,",道路台帳,写測図化,1000,36.7KM2,静岡県磐田市助言610627E3048,(株)フジヤマ,"61.07.01,62.02.28",610556
静岡県,"可美村,",都市計画,写測図化,2500,4.1KM2,静岡県可美村助言610711E3056,(株)フジヤマ,"61.07.08,61.12.20",610675
静岡県,"静岡市,岡部町,",道路計画,写測図化,1000,0.8KM2,静岡国道工事事務所助言610815E3079,中日本航空(株),"61.08.08,61.09.30",
静岡県,"静岡市,",都市計画,写測図化,2500,53.8KM2,静岡県静岡市助言611110E3120,朝日航洋(株),"61.10.08,62.02.25",611542
静岡県,"藤枝市,",都市計画,"写測修正,編集,写測修正,編集","2500,,10000,,10000,,20000","64.4KM2,64.4KM2,77.6KM2,142.0KM2",静岡県藤枝市助言610611E3040,アジア航測(株),"61.05.09,61.09.10",610449
静岡県,"豊田町,",都市計画,写測修正,2500,20.1KM2,静岡県豊田町助言610627E3045,(株)フジヤマ,"61.06.20,61.11.20",610553
静岡県,"福田町,",都市計画,写測修正,2500,15.9KM2,静岡県福田町助言611014E3106,(株)フジヤマ,"61.10.13,62.01.13",611296
静岡県,"小山町,",都市計画,"編集,撮影","10000,,30000","120.5KM2,73.0KM2",静岡県小山町助言610524E3020,(株)八州,"61.06.21,61.10.15",610250
静岡県,"焼津市,御殿場市,",郵便地図調整,"編集,編集,編集","5000,,10000,,25000","37.3KM2,740.8KM2,1483.0KM2",東海郵政局助言610424E3007,直営,"61.05.07,61.10.30",
静岡県,"島田市,",郵便地図調整,"編集,編集","10000,,25000","26.0KM2,237.2KM2",東海郵政局助言620122E3146,直営,"62.03.09,62.03.26",
愛知県,"豊田市,小原村,藤岡町,下山村,",森林計画,基準点,2級,11point,愛知県助言610513E3019,中建測量工務(株),"61.05.20,61.08.30",
愛知県,"名古屋市,",道路台帳,"基準点,平板","2級,,500","35point,22.7KM2",愛知県名古屋市助言610627E3050,"太栄コンサルタンツ(株),中央コンサルタント(株),関谷測量設計(株),敷島測量設計(株),中部復建(株),(株)朝日設計事務所","61.07.01,61.12.28",610558
愛知県,"知多市,",土地区画整理,"基準点,水準","3級,,3級","5point,2point",知多新知土地区画整理組合助言611110E3122,(株)オオバ,"61.11.10,62.02.10",
愛知県,"幸田町,",道路計画,基準点,3級,2point,名四国道工事事務所助言610730E3069,中央コンサルタント(株),"61.10.08,61.12.30",
愛知県,"尾西市,",道路計画,"基準点,水準","3級,,3級","11point,1.5km",日本道路公団一宮工事事務所助言620110E3141,(株)帝国コンサルタント,"62.01.08,62.03.09",
愛知県,"一宮市,",道路計画,"基準点,水準","4級,,3級","6point,0.9km",日本道路公団一宮工事事務所助言610829E3083,中部測量設計(株),"61.08.28,61.11.11",
愛知県,"設楽町,鳳来町,",ダム計画,水準,1級,33.2km,設楽ダム調査事務所助言620224E3159,(有)鈴木測量設計事務所,"62.04.01,62.06.30",
愛知県,"弥富町,立田村,八開村,",河川管理,水準,1級,182.0km,木曽川下流工事事務所助言611006E3100,(株)帝国建設コンサルタント,"61.09.28,62.02.28",
愛知県,"名古屋市,",地盤変動調査,水準,1級,393.0km,愛知県名古屋市助言611017E3114,玉野総合コンサルタント(株),"61.10.17,62.03.25",611325
愛知県,"名古屋市,大治町,甚目寺町,新川町,西枇杷島町,",河川管理,水準,1級,87.9km,庄内川工事事務所助言611014E3108,中部測量設計(株),"61.10.01,62.03.25",
愛知県,"名古屋市,東海市,知多市,飛島村,弥富町,",地盤変動調査,水準,1級,99.0km,名古屋港管理組合助言610910E3090,(株)朝日設計事務所,"61.09.20,61.12.31",611101
愛知県,"岡崎市,碧南市,豊田市,安城市,",河川計画,水準,1級,3.3km,豊橋工事事務所助言611014E3104,(株)飯沼コンサルタント,"61.10.01,61.12.25",
愛知県,"名古屋市,大口町,小牧市,犬山市,",河川計画,水準,2級,39.9km,庄内川工事事務所助言620122E3147,(株)ユニオン,"62.01.20,62.03.30",
愛知県,"碧南市,",土地区画整理,平板,500,0.1KM2,愛知県碧南市助言610711E3059,(株)オオバ,"61.05.30,61.08.30",
愛知県,"蒲郡市,",土地区画整理,平板,500,0.5KM2,愛知県蒲郡市助言610711E3060,(株)オオバ,"61.07.10,61.10.31",
愛知県,"豊川市,",道路台帳,平板,1000,1.0KM2,愛知県豊川市助言610604E3031,アジア航測(株),"61.04.21,62.03.30",
愛知県,"豊明市,",土地区画整理,平板,500,0.1KM2,愛知県豊明市助言620110E3142,中央コンサルタント(株),"61.11.25,62.02.28",
愛知県,"名古屋市,",道路台帳,平板,500,19.4KM2,愛知県名古屋市助言610513E3014,"玉野総合コンサルタント(株),(株)日進サーベー,(株)司設計事務所,(株)大日調査設計,柴山コンサルタント(株),新晃測量設計(株)","61.05.10,61.11.10",610142
愛知県,"大府市,",土地区画整理,平板,500,0.2KM2,愛知県大府市助言610718E3063,(株)大府測量設計事務所,"61.07.10,61.08.31",
愛知県,"名古屋市,",道路台帳,平板,500,2.9KM2,愛知県名古屋市助言611223E3137,"(株)飯沼コンサルタント,(株)神田設計,中部測量設計(株),(株)日進サーベー,(株)司設計事務所,三協調査設計(株)","61.12.12,62.03.20",
愛知県,"刈谷市,",土地区画整理,平板,500,0.8KM2,愛知県刈谷市助言610829E3082,司開発(株),"61.07.17,62.01.12",
愛知県,"設楽町,",ダム計画,"撮影,撮影,写測図化,写測図化,編集,編集","12500,,8000,,1000,,2500,,2500,,10000","281.8KM2,29.8KM2,1.8KM2,29.0KM2,1.8KM2,29.0KM2",設楽ダム調査事務所助言620224E3160,アジア航測(株),"62.04.01,62.10.31",611944
