都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
静岡県,"相良町,",都市計画,"撮影,写測修正","11000,,2500","58.0KM2,58.0KM2",静岡県相良町,(株)藤山測量設計事務所600114E2001,"60.01.14,60.07.31",591509
静岡県,"磐田市,",都市計画,"撮影,写測修正","10000,,2500","64.4KM2,64.4KM2",静岡県磐田市,(株)藤山測量設計事務所591120E0367,"59.11.10,60.03.11",591233
静岡県,"佐久間町,",道路台帳,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","56.0KM2,172.1KM2,4.1KM2,9.5KM2",静岡県佐久間町,(株)藤山測量設計事務所600206E2011,"60.02.10,62.01.31",591586
静岡県,"修善寺町,",下水道台帳,"撮影,写測図化","4000,,500","6.5KM2,1.0KM2",静岡県修善寺町,(株)日新技術コンサルタント591218E0384,"59.10.23,60.07.10",
静岡県,"沼津市,三島市,長泉町,",道路計画,"撮影,写測図化","8000,,1000","27.8KM2,1.8KM2",沼津工事事務所,中日本航空(株)591213E0377,"59.12.13,60.03.15",
静岡県,"富士市,裾野市,富士宮市,御殿場市,芝川町,小山町,",森林計画,撮影,16000,1028.0KM2,静岡県林政課,日本産業航空(株)590502E0155,"59.05.07,59.11.20",590018
静岡県,"下田市,",ほ場整備,写測図化,1000,1.0KM2,静岡県伊豆農林事務所,(株)パスコ590627E0253,"59.05.22,59.07.16",
静岡県,"大須賀町,",道路台帳,写測図化,1000,1.8KM2,静岡県大須賀町,(株)パスコ600128E2009,"59.12.20,60.02.15",
静岡県,"磐田市,",道路台帳,写測図化,500,5.3KM2,静岡県磐田市,(株)藤山測量設計事務所590620E0241,"59.06.20,59.10.30",
静岡県,"竜洋町,",道路台帳,写測図化,1000,10.0KM2,静岡県竜洋町,(株)藤山測量設計事務所590620E0236,"59.06.15,60.03.30",590085
静岡県,"三ケ日町,",農地開発,写測図化,1000,11.6KM2,静岡県西部農林事務所,(株)藤山測量設計事務所590718E0285,"59.07.14,60.01.10",590280
静岡県,"富士市,",道路計画,写測図化,1000,0.6KM2,静岡国道工事事務所,中日本航空(株)590928E0328,"59.10.01,59.12.20",
静岡県,"富士宮市,富士市,芝川町,富士川町,蒲原町,",河川管理,写測修正,2500,25.7KM2,甲府工事事務所,(株)パスコ590830E0309,"59.05.08,59.10.14",
静岡県,"小笠町,菊川町,",河川計画,写測修正,1000,6.6KM2,浜松工事事務所,(株)パスコ600128E2010,"59.12.10,60.03.15",
静岡県,"浜松市,磐田市,浅羽町,福田町,竜洋町,",道路計画,写測修正,2500,11.0KM2,静岡県,アジア航測(株)600114E2002,"59.12.17,60.03.16",
静岡県,"静岡市,",河川管理,写測修正,2500,46.2KM2,静岡河川工事事務所,中日本航空(株)590727E0291,"59.07.13,59.11.18",
静岡県,"浜松市,富士市,袋井市,清水市,",郵便地図調整,"編集,編集,編集","5000,,10000,,25000","38.0KM2,197.7KM2,2089.0KM2",東海郵政局,直営590502E0153,"59.05.08,59.11.19",
愛知県,"安城市,",土地区画整理,"基準点,平板","1級,,500","16point,1.7KM2",愛知県安城市,中央コンサルタント(株)590912E0312,"59.09.01,60.01.20",
愛知県,"蒲郡市,",土地区画整理,"基準点,平板","1級,,500","3point,0.2KM2",愛知県蒲郡市,玉野総合コンサルタント(株)590921E0320,"59.09.01,60.02.20",
愛知県,"一宮市,",道路計画,"基準点,水準","1級,,2級","2.8km,2.8km",日本道路公団名古屋工事事務所,玉野総合コンサルタント(株)591203E0370,"59.12.01,60.03.09",
