都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
北海道,"夕張市,由仁町,栗山町",ダム計画,図化,5000,14.2KM2,北海道企業局,北電興業,"58.7.16,59.3.20",618
北海道,"上士幌町,士幌町,鹿追町",農業基盤整備,図化,5000,1.7KM2,帯広開発建設部,北海航測,"58.8.27,58.10.8",
北海道,"美唄市,奈井江町",区画整理,平板,1000,2.9KM2,地域振興整備公団北海道支部,日鉄鉱コンサルタント,"58.7.11,58.11.25",
青森県,六戸町,道路台帳,"基準点,平板","3級,,500","192point,4.1KM2",六戸町,佐藤測量技術,"58.10.1,59.12.20",
青森県,青森市,地盤沈下,"水準,水準","1級,,2級","3.0km,12.0km",青森県,東北測量,"58.5.13,58.6.13",118
青森県,青森市,地盤沈下,"水準,水準","1級,,2級","40.0km,50.0km",青森市,東北測量,"58.5.25,58.6.24",52
青森県,八戸市,地盤沈下,水準,1級,71.0km,八戸市,シビル技術,"58.9.10,58.10.31",435
青森県,六ケ所村,造成計画,"撮影,図化","3000,,500","15.0KM2,10.5KM2",むつ小川原開発株式会社,朝日航洋,"58.7.11,59.4.30",333
青森県,尾上町,下水道計画,"撮影,図化","4000,,500","6.8KM2,2.7KM2",尾上町,パスコ,"58.5.27,58.6.30",133
青森県,平賀町,下水道計画,"撮影,図化","4000,,500","6.5KM2,1.3KM2",平賀町,パスコ,"59.3.1,59.3.25",1302
青森県,稲垣村,道路台帳,"撮影,図化","8000,,1000","32.7KM2,2.5KM2",稲垣村,東北測量,"58.10.20,60.2.20",826
青森県県境宮城県,"七戸町,県境三本木町",森林計画,撮影,16000,650.0KM2,青森県,北海航測,"58.4.20,58.11.30",124
青森県,十和田市,農地開発,撮影(対標有),20000,256.0KM2,東北農政局津軽総合開発調査事務所,朝日航洋,"58.5.6,58.6.27",93
青森県,"十和田市,十和田湖町",農地開発,"図化新規,図化修正","5000,,5000","18.0KM2,238.0KM2",東北農政局津軽総合開発調査事務所,朝日航洋,"58.7.25,58.8.29",345
青森県,八戸市,区画整理,平板,500,1.5KM2,八戸市下長地区石堂土地区画整理組合,コサカ技研,"58.6.1,59.3.15",
青森県,五所川原市,区画整理,平板,500,0.7KM2,五所川原市,中庭測量,"58.11.16,60.3.30",
青森県,田舎館村,区画整理,平板,500,0.1KM2,田舎館村,佐藤測量技術設計,"58.11.1,59.3.10",
青森県,藤崎町,区画整理,平板,500,0.4KM2,藤崎町,東日本航空,"58.7.15,59.3.20",
青森県,八戸市,住宅対策,平板,500,0.1KM2,青森県新産業都市建設事業団,佐藤測量技術設計,"58.8.15,58.11.30",
岩手県,矢巾町,区画整理,"基準点,平板","3級,,500","7point,0.5KM2",矢巾町,佐藤測量技術設計,"58.6.24,58.10.31",
岩手県,東和町,森林計画,基準点,3級,2point,東和町,東日本測量設計,"58.7.25,58.8.10",
岩手県,盛岡市,道路台帳,"撮影,図化","4000,,500","26.8KM2,6.8KM2",盛岡市,パスコ,"58.8.23,59.2.25",438
岩手県,金ケ崎町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","17.0KM2,200.0KM2,10.6KM2,20.6KM2",金ヶ崎町,国際航業,"58.8.26,60.1.31",473
岩手県,紫波町,下水道計画,"撮影,図化","4000,,500","5.3KM2,0.7KM2",紫波町,アジア航測,"58.4.26,58.8.28",
岩手県,紫波町,道路台帳,"撮影,図化","8000,,1000","200.0KM2,38.0KM2",紫波町,アジア航測,"58.10.11,60.2.28",661
岩手県,雫石町,道路台帳,"撮影,図化","8000,,1000","394.0KM2,45.0KM2",雫石町,国際航業,"58.6.20,59.6.30",205
岩手県,胆沢町,道路台帳,"撮影,図化","8000,,1000","130.0KM2,34.1KM2",胆沢町,第一航業,"58.9.25,59.12.25",649
岩手県,花泉町,道路台帳,"撮影,図化","8000,,1000","164.2KM2,25.8KM2",花泉町,第一航業,"58.10.11,60.3.10",664
岩手県,浄法寺町,道路台帳,"撮影,図化","8000,,1000","140.0KM2,9.0KM2",浄法寺町,朝日航洋,"58.4.1,59.3.31",132
