都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,実施機関,作業期間,付図番号
千葉県,松戸市,都市計画,"撮影,図化","12500,,2500","47.2KM2,24.0KM2",松戸市,国際航業,"58.10.4,59.3.5",887
千葉県,印西町,市街地開発,"撮影,図化","12500,,2500","182.0KM2,117.0KM2",千葉県企業庁ニュータウン整理部,京葉測量,"58.6.2,58.11.28",442
千葉県,鎌ケ谷市,道路台帳,図化,500,0.7KM2,鎌ヶ谷市,国際航業,"58.5.10,58.12.25",
千葉県,館山市,道路台帳,図化,1000,8.8KM2,館山市,パスコ,"58.7.8,59.3.15",
千葉県,鋸南町,ほ場整備,図化,1000,4.5KM2,鋸南町,国際航業,"58.8.10,58.11.30",
千葉県,東金市,区画整理,平板,500,1.1KM2,東金市,八州,"58.7.15,59.3.25",
千葉県,千葉市,区画整理,平板,500,0.7KM2,千葉市,日測,"58.5.25,59.3.31",
千葉県,四街道市,区画整理,平板,500,1.4KM2,住宅都市整備公団首都圏都市開発本部,大和測量,"58.9.16,59.6.30",
千葉県,千葉市,区画整理,平板,500,0.8KM2,住宅都市整備公団首都圏都市開発本部,大洋測量設計社,"58.11.25,59.5.31",
千葉県,館山市,写真地図,写図,5000,172.5KM2,千葉県,パスコ,"58.5.1,58.7.31",58
東京都,八王子市,都市計画,基準点,1級(フリー),75point,八王子市,パスコ,"58.6.1,58.9.30",
東京都,練馬区,都市計画,基準点,2級,45point,練馬区,練馬測量業協組,"58.7.29,58.12.21",
東京都,"町田市,八王子市,多摩市",宅地開発,基準点,2級,54point,住宅都市整備公団南多摩開発局,"大成測量,富士測量設計","58.12.15,59.3.31",
東京都,小金井市,都市計画,基準点,3級,77point,小金井市,大輝測量,"58.10.1,59.3.17",
東京都,足立区,"地盤変動,道路台帳",水準,1級,110.0km,足立区,オオバ,"59.1.17,59.3.14",
東京都,"昭島市,あきる野市,稲城市,清瀬市,国立市,小金井市,国分寺市,小平市,狛江市,立川市,多摩市,調布市,西東京市,羽村市,東久留米市,東村山市,東大和市,日野市,府中市,福生市,町田市,三鷹市,武蔵野市,武蔵村山市,足立区,荒川区,板橋区,江戸川区,大田区,葛飾区,北区,江東区,品川区,渋谷区,新宿区,杉並区,墨田区,世田谷区,台東区,中央区,千代田区,豊島区,中野区,練馬区,文京区,港区,目黒区",地盤変動,水準,1級,986.0km,東京都土木技術研究所,"日本測量,八州","58.10.1,59.3.31",558
東京都,"江東区,中央区,港区,品川区,大田区",地盤沈下,水準,1級,230.0km,東京都港湾局,共立コンサルタント,"58.10.20,59.3.31",711
東京都,練馬区,鉄道計画,"撮影,図化","3000,,500","15.0KM2,9.5KM2",東京都交通局,パスコ,"58.5.15,58.9.30",
東京都,墨田区,都市計画,"撮影,図化,編集","4000,,500,,1000","2.3KM2,0.5KM2,0.5KM2",墨田区,パスコ,"58.8.15,58.12.20",
東京都,多摩市,都市計画,"カラー撮影,撮影,図化修正,図化","10000,,4000,,2500,,500","49.5KM2,2.8KM2,20.7KM2,0.2KM2",多摩市,国際航業,"58.6.20,59.1.31",219
東京都,小平市,下水道計画,"撮影,図化","4000,,500","12.0KM2,6.6KM2",小平市,パスコ,"58.4.30,58.10.3",146
東京都,昭島市,下水道台帳,"撮影,図化","4000,,500","4.7KM2,1.3KM2",昭島市,八州,"58.11.8,59.3.31",
東京都,東村山市,下水道台帳,"撮影,図化","4000,,500","3.3KM2,0.2KM2",東村山市,パスコ,"58.11.25,59.3.24",
東京都,奥多摩町,道路台帳,"撮影,図化","8000,,1000","226.4KM2,3.2KM2",奥多摩町,国際航業,"58.12.3,59.3.31",1037
東京都,,都市計画,"撮影,図化修正","10000,,2500","375.0KM2,375.0KM2",東京都,アジア航測,"58.8.15,59.3.15",444
東京都,神津島村,都市計画,"撮影,図化","12500,,2500","18.6KM2,18.6KM2",東京都,国際航業,"58.9.6,59.2.15",548
東京都,三宅村,都市計画,"撮影,図化","12000,,2500","55.1KM2,55.1KM2",東京都,国際航業,"59.1.19,59.7.31",1117
東京都,青ケ島村,都市計画,"撮影,図化","12500,,2500","5.4KM2,5.4KM2",青ヶ島村,朝日航洋,"58.10.26,59.2.29",
東京都,"秋川市,青梅市",道路計画,図化,1000,0.7KM2,東京都西多摩建設事務所,八州,"59.2.22,59.3.30",
東京都,練馬区,道路区域,"平板,平板","250,,500","47.0KM2,47.0KM2",練馬区,練馬測量業協同組合,"58.4.30,59.3.31",
東京都,江戸川区,道路台帳,平板,500,3.7KM2,江戸川区,大洋測量設計社他4社,"58.5.9,59.1.30",
東京都,葛飾区,道路台帳,平板,500,1.4KM2,葛飾区,"第一航業,大坪測量事務所,八州","58.5.10,59.2.3",
東京都,葛飾区,道路台帳,平板,500,0.5KM2,葛飾区,八州,"58.8.22,59.2.2",
東京都,町田市,道路台帳,平板,500,0.1KM2,町田市,大協測量,"58.5.7,59.3.15",
東京都,東村山市,道路台帳,平板,500,0.4KM2,東村山市,"八千代測量,大和測量","58.8.11,59.2.29",
東京都,葛飾区,道路台帳,平板,500,0.3KM2,葛飾区,第一航業,"58.5.14,58.12.15",
東京都,葛飾区,道路台帳,平板,500,0.6KM2,葛飾区,大坪測量事務所,"58.6.18,58.12.15",
東京都,三宅村,宅地造成,平板,500,0.2KM2,三宅村,第一航業,"59.2.24,59.3.30",
神奈川県,平塚市,都市計画,"基準点,基準点","1級,,2級","28point,52point",平塚市,アジア航測,"58.8.9,59.3.30",
神奈川県,横浜市,都市計画,基準点,1級,160point,横浜市,"国際航業,第一航業","58.6.1,59.3.31",
神奈川県,海老名市,道路台帳,基準点,2級,23point,海老名市,松岡測量設計,"58.7.25,58.10.22",
神奈川県,小田原市,道路台帳,"基準点,撮影,図化","2級,,4000,,500","83point,80.6KM2,18.4KM2",小田原市,パスコ,"58.10.21,61.3.31",1095
神奈川県,秦野市,道路台帳,基準点,2級,67point,秦野市,湘南測量設計,"58.8.15,59.2.18",
神奈川県,横浜市,都市計画,基準点,2級,130point,横浜市,パスコ他5社,"58.12.15,59.3.31",
神奈川県,綾瀬市,道路台帳,基準点,3級,133point,綾瀬市,渋谷測量,"58.10.1,59.2.20",
神奈川県,相模原市,道路台帳,"基準点,平板","3級,,500","2point,0.5KM2",相模原市,柚木測量,"59.2.6,59.3.31",
神奈川県,藤沢市,土地改良,基準点,3級,9point,藤沢町鵠沼耕地整理組合,昭和測量工業,"58.11.22,58.12.20",
神奈川県,横浜市,公園建設,"基準点,平板","4級,,500","5point,0.2KM2",横浜市緑政局,創和測量工務,"58.4.26,58.7.24",
神奈川県,厚木市,地盤沈下,水準,1級,38.5km,厚木市,三枝測量,"58.10.1,59.3.31",448
神奈川県,海老名市,地盤沈下,水準,1級,66.0km,海老名市,パスコ,"58.10.1,59.1.31",562
神奈川県,寒川町,地盤沈下,水準,1級,22.0km,寒川町,三枝測量設計,"58.11.1,59.3.10",742
神奈川県,茅ケ崎市,地盤沈下,水準,1級,60.0km,茅ヶ崎市,パスコ,"58.11.1,59.3.15",743
神奈川県,藤沢市,地盤沈下,水準,1級,36.0km,藤沢市,三枝測量設計,"58.11.1,59.2.29",561
神奈川県,平塚市,地盤沈下,水準,1級,127.2km,平塚市,三枝測量設計,"58.10.27,59.3.20",917
神奈川県,横浜市,地盤沈下,水準,1級,531.0km,横浜市,東日本航空,"58.11.20,59.3.10",916
神奈川県,鎌倉市,地盤変動,水準,1級,8.1km,鎌倉市,東日本航空,"58.12.1,59.3.30",886
神奈川県,川崎市,地盤変動,水準,1級,280.0km,川崎市,八州,"58.10.1,59.3.31",559
神奈川県,二宮町,道路台帳,"撮影,図化","4000,,500","9.0KM2,2.6KM2",二宮町,写測,"58.11.20,60.3.31",961
神奈川県,"横浜市,藤沢市",道路計画,"撮影,図化","7000,,1000","37.7KM2,4.2KM2",日本道路公団東京第一建設局,八州,"58.9.17,59.2.13",
神奈川県,"鎌倉市,藤沢市,茅ケ崎市,大和市,海老名市,座間市,綾瀬市,寒川町,横須賀市,逗子市,三浦市,葉山町,相模原市,秦野市,厚木市,伊勢原市,愛川町,清川村,南足柄市,中井町,大井町,松田町,山北町,開成町",道路台帳,"撮影,空三","8000,,8000","1321.5KM2,1321.5KM2",神奈川県,パスコ,"58.11.28,59.2.29",1094
神奈川県,川崎市,都市計画,撮影,10000,270.0KM2,川崎市,国際航業,"58.12.20,59.2.29",447
神奈川県,平塚市,都市計画,"撮影,図化","11000,,2500","117.0KM2,67.9KM2",平塚市,アジア航測,"58.4.20,58.7.31",96
神奈川県,綾瀬市,都市計画,"撮影,図化","12500,,2500","22.2KM2,22.2KM2",綾瀬市,パスコ,"58.11.22,59.3.20",986
神奈川県,相模原市,都市計画,"撮影,図化","12500,,2500","130.0KM2,90.8KM2",相模原市,パスコ,"58.4.28,58.12.31",57
神奈川県,相模湖町,都市計画,"撮影,図化","12500,,2500","36.0KM2,30.4KM2",相模湖町,八州,"58.5.2,58.12.25",142
神奈川県,寒川町,都市計画,"撮影,図化新規,図化修正","12500,,2500,,2500","32.0KM2,2.0KM2,11.2KM2",寒川町,アジア航測,"58.8.4,58.10.31",483
神奈川県,茅ケ崎市,都市計画,"撮影,図化","12500,,2500","52.0KM2,35.8KM2",茅ヶ崎市,国際航業,"58.10.17,59.3.15",914
神奈川県,"秦野市,小田原市",森林計画,撮影,16000,597.0KM2,神奈川県,朝日航洋,"58.5.20,58.8.31",148
神奈川県,愛川町,道路台帳,図化,500,5.3KM2,愛川町,アジア航測,"58.6.22,58.12.20",
神奈川県,寒川町,道路台帳,図化,500,5.2KM2,寒川町,アジア航測,"58.6.20,59.2.29",
神奈川県,川崎市,道路調査,図化,1000,2.9KM2,関東地建川崎国道工事事務所,八州,"58.9.20,58.12.18",
神奈川県,"鎌倉市,藤沢市,茅ケ崎市,大和市,海老名市,座間市,綾瀬市,寒川町,横須賀市,逗子市,三浦市,葉山町,相模原市,秦野市,厚木市,伊勢原市,愛川町,清川村,南足柄市,中井町,大井町,松田町,山北町,開成町",道路台帳,図化,1000,71.7KM2,神奈川県,パスコ,"59.3.1,62.3.31",
神奈川県,三浦市,都市計画,図化修正,2500,31.2KM2,三浦市,パスコ,"58.10.1,59.3.31",551
神奈川県,横須賀市,都市計画,図化,2500,99.1KM2,横須賀市,国際航業,"58.10.25,59.3.23",915
神奈川県,川崎市,都市計画,平板,500,0.3KM2,川崎市,江崎測量設計,"58.8.25,59.1.16",
神奈川県,川崎市,道路計画,平板,500,0.1KM2,川崎市,セントラルコンサルタント,"59.1.27,59.3.15",
神奈川県,厚木市,道路台帳,平板,500,0.4KM2,厚木市,金谷測量,"58.9.10,59.3.19",
神奈川県,相模原市,道路台帳,平板,500,3.2KM2,相模原市,小橋測量設計,"58.6.1,59.3.15",
神奈川県,三浦市,道路台帳,平板,500,0.8KM2,三浦市,パスコ,"59.3.1,59.10.31",
神奈川県,南足柄市,道路台帳,平板,500,0.2KM2,南足柄市,精工技建,"58.12.26,59.3.26",
神奈川県,川崎市,道水路台帳,平板・修正,500,60.7KM2,川崎市,多摩測量所,"58.7.10,58.10.20",376
山梨県,,地盤沈下,水準,1級,85.8km,山梨県,(社)山梨県建設技術,"58.9.12,58.12.24",555
山梨県,,道路台帳,"撮影,図化","4000,,500","136.0KM2,12.4KM2",山梨県,パスコ,"58.7.20,58.12.1",
山梨県,勝山村,道路台帳,"撮影,図化","4000,,500","8.2KM2,1.7KM2",勝山村,写測,"58.10.15,59.7.30",
山梨県,足和田村,下水道計画,"撮影,図化","4000,,500","2.5KM2,0.1KM2",足和田村,写測,"58.10.15,58.12.20",
山梨県,小菅村,下水道計画,"撮影,図化","4000,,500","6.7KM2,0.6KM2",小菅村,セントラル航空測量,"58.6.13,58.8.31",
山梨県,"韮崎市,小淵沢町",河川計画,"撮影,図化","4000,,500","18.4KM2,1.5KM2",山梨県,セントラル航空測量,"58.11.26,59.3.15",
山梨県,甲西町,道路計画,撮影(対標有),8000,24.8KM2,関東地建甲府工事事務所,朝日航洋,"58.12.13,59.1.31",1100
山梨県,"韮崎市,八田村",道路計画,"撮影,図化","8000,,1000","36.2KM2,3.0KM2",山梨県甲府土木事務所,セントラル航空測量,"58.12.13,59.3.15",1115
山梨県,石和町,都市計画,"撮影,図化","12500,,2500","36.0KM2,14.7KM2",石和町,パスコ,"58.8.14,59.3.10",1102
山梨県,"大月市,南部町",電源開発,"撮影,図化","20000,,5000","110.0KM2,14.6KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",739
山梨県,甲府市,発電水力調査,"撮影,図化","20000,,5000","25.8KM2,4.3KM2",通産省エネルギー庁公益事業部,アジア航測,"58.8.25,58.10.31",540
山梨県,,河川改修,図化修正,2500,27.9KM2,関東地建甲府工事事務所,協同測量社,"58.10.27,59.3.5",
山梨県,,河川計画,図化,2500,17.2KM2,関東地建甲府工事事務所,国際航業,"58.11.30,59.3.10",
山梨県,中富町,農村総合整備,図化,5000,19.5KM2,山梨県峡南土地改良事務所,セントラル航空測量,"58.6.21,58.8.30",251
山梨県,"白州町,武川村,韮崎市",砂防計画,図化,5000,223.8KM2,関東地建富士川砂防工事事務所,"国際航業,パスコ,アジア航測","58.5.16,59.2.22",445
長野県,佐久市,都市計画,基準点,1級,17point,佐久市,朝日航洋,"58.4.15,58.5.15",
長野県,佐久町,都市計画,基準点,1級,1point,佐久町,佐久測量社,"58.2.11,58.7.16",
長野県,鼎町,都市計画,基準点,2級,3point,鼎町,長姫測量,"58.5.3,58.6.30",
長野県,木祖村,ダム計画,基準点,2級,8point,水資源開発公団味噌川ダム建設所,(財)林野弘済会,"58.11.20,58.12.20",
長野県,諏訪市,地盤沈下,水準,2級,59.0km,長野県諏訪建設事務所,協同測量社,"58.12.18,59.3.10",1152
長野県,南牧村,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","17.0KM2,134.4KM2,17.0KM2,13.0KM2",南牧村,朝日航洋,"58.12.1,61.2.28",1103
長野県,伊那市,鉄道計画,"撮影,図化","4000,,500","3.3KM2,0.4KM2",日本国有鉄道岐阜工事局,東日本航空,"58.12.15,59.3.20",
長野県,望月町,文化財調査,"撮影,図化","4000,,500","9.0KM2,3.6KM2",望月町,新日本航業,"58.6.27,58.7.30",255
長野県,牟礼村,都市計画,"撮影,図化","8000,,2500","39.6KM2,2.0KM2",牟礼村,協同測量社,"59.2.20,59.3.31",1356
長野県,望月町,道路台帳,"撮影,図化","8000,,1000","127.3KM2,13.0KM2",望月町,朝日航洋,"59.1.4,61.3.20",1270
長野県,浅科村,道路台帳,"撮影,図化","8000,,1000","29.4KM2,19.1KM2",浅科村,日研コンサル,"58.5.10,60.4.10",144
長野県,喬木村,道路台帳,"撮影,図化","8000,,1000","90.0KM2,11.3KM2",喬木村,朝日航洋,"58.4.4,59.2.20",60
長野県,四賀村,道路台帳,"撮影,図化","8000,,1000","91.0KM2,10.0KM2",四賀村,コクサイ航測,"58.3.29,60.3.31",37
長野県,戸隠村,道路台帳,"撮影,図化","8000,,1000","132.0KM2,18.9KM2",戸隠村,コクサイ航測,"59.4.1,61.1.31",1352
長野県,豊丘村,道路台帳,"撮影,図化","8000,,1000","76.3KM2,19.4KM2",豊丘村,国際航業,"58.12.1,60.2.28",981
長野県,塩尻市,土地改良,"撮影,図化","8000,,1000","5.5KM2,0.8KM2",塩尻市,日研コンサル,"58.5.9,58.6.20",
長野県,奈川村,砂防計画,撮影(対標有),8000,72.2KM2,北陸地建松本砂防工事事務所,パスコ,"58.9.26,58.11.5",781
長野県,安曇村,砂防計画,カラー撮影(対標有),8000,30.8KM2,北陸地建松本砂防工事事務所,パスコ,"58.9.26,58.11.5",788
長野県,更埴市,都市計画,"撮影,図化","10000,,2500","78.5KM2,23.5KM2",北陸地建更埴建設事務所,協同測量社,"59.3.1,59.3.26",1350
長野県,軽井沢町,都市計画,"撮影,図化,図化","12500,,2500,,5000","155.7KM2,99.1KM2,56.6KM2",軽井沢町,バスコ,"58.5.25,58.10.30",170
長野県,"長野市,飯山市,中野市,須坂市",森林計画,撮影,16000,1833.0KM2,長野県,中庭測量,"58.4.22,58.10.31",149
長野県,"鬼無里村,大桑村,南木曽町",電源開発,"撮影,図化","20000,,5000","151.0KM2,20.1KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",739
長野県,小諸市,都市計画,"図化新規,図化修正,編集","2500,,2500,,10000","21.0KM2,59.9KM2,85.0KM2",長野県佐久建設事務所,朝日航洋,"59.2.23,59.3.20",1293
長野県,茅野市,都市計画,図化,500,2.3KM2,茅野市,パスコ,"58.7.19,58.10.14",
長野県,茅野市,都市計画,図化,500,1.9KM2,茅野市,パスコ,"58.10.21,58.12.15",
長野県,岡谷市,道路台帳,図化,500,7.4KM2,岡谷市,パスコ,"58.6.9,59.2.23",253
長野県,"長野市,飯山市",鉄道計画,"図化,図化","500,,2500","0.5KM2,0.3KM2",日本鉄道建設公団東京新幹線建設局,アジア航測,"58.9.20,58.11.25",
長野県,"佐久市,軽井沢町",鉄道計画,図化,500,0.8KM2,日本鉄道建設公団東京新幹線建設局,朝日航洋,"58.9.20,58.11.15",
長野県,上田市,鉄道計画,"図化新規,図化修正","500,,500","0.4KM2,0.3KM2",日本鉄道建設公団東京新幹線建設局,パスコ,"58.9.20,58.11.12",
長野県,長野市,鉄道計画,図化,500,0.6KM2,日本鉄道建設公団関東支社,東日本航空,"58.11.21,59.2.8",
長野県,上松町,砂防計画,図化,1000,3.7KM2,中部地建多治見工事事務所,アジア航測,"58.6.14,58.8.17",
長野県,本城村,ダム計画,図化,2000,3.4KM2,長野県松本建設事務所,パスコ,"58.6.1,58.7.30",
長野県,茅野市,ダム計画,図化,2000,2.0KM2,長野県諏訪建設事務所,パスコ,"58.8.26,58.9.30",
長野県,東部町,都市計画,"図化新規,図化修正,図化新規","2500,,2500,,10000","8.8KM2,18.5KM2,51.6KM2",長野県上田建設事務所,協同測量社,"59.2.29,59.3.31",1355
長野県,下諏訪町,都市計画,図化,2500,8.8KM2,下諏訪町,協同測量社,"58.6.15,58.8.31",325
長野県,飯山市,河川改修,図化,2500,14.9KM2,北陸地建千曲川工事事務所,協同測量社,"58.10.1,59.2.29",
長野県,阿智村,道路台帳,平板,500,1.4KM2,阿智村,信濃測地,"58.7.1,59.3.25",
長野県,中川村,道路台帳,平板,500,1.2KM2,中川村,村沢測量,"58.10.25,59.1.20",
長野県,生坂村,道路台帳,平板,500,1.2KM2,生坂村,信濃測地,"58.10.1,59.3.31",
新潟県,,境界調査,基準点,図根点,3point,大阪営林局,自営,"58.9.1,58.12.20",
新潟県,朝日村,森林計画,基準点,図根点,4point,前橋営林局,中野測量,"58.7.13,58.12.10",
新潟県,青海町,区画整理,基準点,2級,2point,青海町,桑原測量社,"58.7.10,59.2.29",
新潟県,,地盤変動,水準,2級,141.0km,新潟県,協立コンサルタンツ,"58.8.21,58.10.31",303
新潟県,,地盤変動,"水準,水準","1級,,2級","5.0km,97.0km",新潟県,八州,"58.8.21,58.10.31",304
新潟県,,地盤変動,"水準,水準","1級,,2級","38.0km,33.0km",新潟県,中野測量,"58.8.21,58.10.31",305
新潟県,,地盤変動,水準,2級,60.0km,新潟県,セントラル航業,"58.8.21,58.10.31",306
新潟県,"新潟市,新発田市,豊栄市,新津市,白根市",地盤変動,"水準,水準","1級,,2級","32.2km,117.7km",北陸農政局,"セントラル航業,オリジナルサーベー,ハラ信越測量設計","58.8.1,58.9.30",523
新潟県,新潟市,地盤変動,水準,2級,36.7km,第一港湾建設局新潟港工事事務所,中野測量航業,"58.5.1,58.12.25",477
新潟県,新潟市,地盤変動,水準,2級,26.4km,新潟市,中野測量航業,"58.9.15,58.11.30",563
新潟県,,道路管理,撮影(対標有),4000,34.7KM2,新発田土木事務所,旭伸航空,"58.3.1,58.3.31",
新潟県,"新発田市,聖籠町,紫雲寺町",道路台帳,"撮影,図化","4000,,500","15.0KM2,0.5KM2",新潟県,オリジナルサーベー,"58.11.24,59.3.15",
新潟県,"新潟市,新津市,村松町,五泉市,亀田町,巻町",道路台帳,"撮影,図化","4000,,500","55.1KM2,0.8KM2",新潟県,"オリジナルサーベー,中野測量航業","58.11.24,59.3.15",
新潟県,加茂市,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","30.0KM2,90.7KM2,4.9KM2,11.2KM2",加茂市,国際航業,"58.10.25,61.3.31",801
新潟県,西川町,道路台帳,"撮影,撮影,図化,図化","4000,,8000,,500,,1000","3.4KM2,47.4KM2,1.2KM2,4.5KM2",西川町,中野測量航業,"58.4.30,59.3.15",111
新潟県,越路町,下水道計画,"撮影,図化","4000,,500","4.5KM2,0.3KM2",越路町,オリジナルサーベー,"58.10.31,59.3.15",922
新潟県,堀之内町,下水道計画,"撮影,図化","4000,,500","1.7KM2,0.7KM2",堀之内町,中野測量航業,"58.10.21,59.3.31",
新潟県,柏崎市,"ガス,水道,配管台帳","撮影,図化","4000,,500","25.5KM2,1.8KM2",柏崎市ガス・水道事業管理者,パスコ,"58.7.11,58.10.23",335
新潟県,妙高村,農地開発,"撮影,図化","8000,,1000","17.2KM2,0.5KM2",北陸農政局,北日本測量,"58.10.1,58.12.20",748
新潟県,中郷村,ほ場整備,"撮影,図化,編集","8000,,1000,,5000","32.0KM2,2.4KM2,2.4KM2",中郷村,オリジナルサーベー,"58.4.19,58.7.7",65
新潟県,頸城村,ほ場整備,"撮影,編集,図化","8000,,5000,,1000","5.4KM2,4.3KM2,4.3KM2",頸城村,中野測量航業,"58.7.30,59.1.25",475
新潟県,亀田町,都市計画,"撮影,編集,図化","10000,,10000,,2500","43.2KM2,16.9KM2,16.9KM2",亀田町,中野測量航業,"58.4.8,58.8.31",63
新潟県,加茂市,都市計画,"撮影,図化修正","12500,,2500","84.0KM2,34.0KM2",加茂市,オリジナルサーベー,"58.7.19,58.12.15",346
新潟県,吉田町,都市計画,撮影(対標有),12500,67.1KM2,吉田町,オリジナルサーベー,"58.8.25,58.9.30",526
新潟県,横越村,都市計画,"撮影,図化","12500,,2500","19.8KM2,4.3KM2",横越村,中野測量航業,"58.10.17,58.12.18",924
新潟県,大和町,都市計画,"撮影,図化","12500,,2500","73.0KM2,13.2KM2",大和町,中野測量航業,"58.8.26,59.3.10",474
新潟県,寺泊町,総合計画,"撮影,図化","12500,,2500","110.2KM2,6.3KM2",寺泊町,オリジナルサーベー,"58.5.14,58.9.30",152
新潟県,西山町,総合計画,撮影,12500,92.0KM2,西山町,オリジナルサーベー,"58.7.7,58.8.31",314
新潟県県境山形県,"関川村,黒川村,県境小国町,飯豊町",砂防計画,撮影,12500,887.0KM2,北陸地建飯豊山系砂防工事事務所,国際航業,"58.10.11,58.12.20",716
新潟県,"三条市,新発田市,加茂市,五泉市,阿賀野市,胎内市,聖籠町,弥彦村,田上町,阿賀町,新潟市,燕市,長岡市,見附市",森林計画,撮影,16000,1293.0KM2,新潟県,東日本航空,"58.4.25,58.10.31",43
新潟県,鹿瀬町,総合計画,カラー撮影,20000,257.0KM2,鹿瀬町,オリジナルサーベー,"58.10.14,59.2.28",800
新潟県,上川村,総合計画,カラー撮影,20000,361.0KM2,上川村,オリジナルサーベー,"58.11.15,58.12.15",923
新潟県,"新発田市,塩沢町",電源開発,"撮影,図化","20000,,5000","110.0KM2,21.3KM2",新エネルギー財団水力本部,アジア航測,"58.9.16,59.3.10",754
新潟県,三和村,農村総合整備,"撮影,図化修正,編集","25000,,5000,,10000","110.6KM2,39.3KM2,39.3KM2",三和村,オリジナルサーベー,"58.6.13,58.9.5",227
新潟県,柏崎市,都市計画,"撮影,図化新規,図化修正","30000,,10000,,10000","463.0KM2,260.7KM2,52.6KM2",柏崎市,中野測量航業,"58.7.15,58.11.30",383
新潟県,三和村,ほ場整備,"編集,図化","5000,,1000","2.7KM2,2.7KM2",三和村,中野測量航業,"58.10.11,59.3.8",
新潟県,妙高村,都市計画,"編集,図化","10000,,2500","42.8KM2,42.8KM2",妙高村,オリジナルサーベー,"58.4.1,58.7.31",64
新潟県,柏崎市,農村総合整備,図化,500,1.4KM2,柏崎市,パスコ,"58.8.25,58.11.15",
新潟県,津南町,農地開発,図化,1000,2.1KM2,北陸農政局苗場山麓開拓建設事業所,セントラル航業,"58.9.3,58.10.30",
新潟県,下田村,農村総合整備,図化,1000,3.7KM2,北陸農政局下田開拓建設事業所,アジア航測,"58.5.25,58.8.25",
新潟県,中条町,ほ場整備,図化,1000,3.1KM2,胎内川沿岸土地改良区,国際航業,"58.11.1,59.2.22",
新潟県,中郷村,総合計画,図化,2500,10.0KM2,中郷村,オリジナルサーベー,"58.7.15,58.8.31",347
新潟県,鹿瀬町,都市計画,図化修正,5000,110.8KM2,鹿瀬町,オリジナルサーベー,"59.1.15,59.3.31",1213
新潟県,白根市,区画整理,平板,500,0.2KM2,白根北部土地区画整理組合,都計測量社,"58.4.15,58.8.15",
富山県,富山市,総合計画,"撮影,撮影,図化,図化修正","4000,,10000,,500,,2500","1.4KM2,281.4KM2,0.1KM2,209.1KM2",富山市,アジア航測,"58.8.1,59.5.31",385
富山県,富山市,土地改良,"撮影,図化","8000,,1000","6.8KM2,2.0KM2",富山県土地改良事業団連合会,北陸航測,"58.10.14,59.2.20",746
富山県,"八尾町,山田村",ダム計画,"撮影,図化","8000,,1000","22.0KM2,6.1KM2",富山県,セントラル航業,"58.12.1,59.3.27",1038
富山県,黒部市,都市計画,"撮影,図化","12500,,2500","70.6KM2,6.1KM2",黒部市,玉野総合コンサルタント,"58.5.23,59.2.25",128
富山県,大門町,都市計画,"撮影,図化","12500,,2500","33.7KM2,21.6KM2",大門町,北陸航測,"58.8.20,58.12.20",420
富山県,宇奈月町,河川計画,"撮影,図化","12500,,2500","26.5KM2,6.6KM2",北陸地建黒部工事事務所,アジア航測,"58.8.5,58.9.15",476
富山県,小杉町,土地改良,図化,1000,5.9KM2,富山県富山農地林務事務所,パスコ,"58.10.27,58.12.20",
富山県,"富山市,婦中町",土地改良,図化,1000,7.5KM2,富山県富山農地林務事務所,北陸航測,"58.10.27,58.12.10",
富山県,,河川管理,図化,2500,20.8KM2,北陸地建富山工事事務所,パスコ,"58.8.23,59.1.31",
富山県,福野町,都市計画,平板,500,0.2KM2,福野町,三和測量建設,"58.11.21,59.2.20",
石川県,金沢市,開拓計画,基準点,2級,17point,北陸農政局河北潟干拓建設事業所,セントラル航業,"58.7.1,58.8.30",
石川県,七尾市,地盤沈下,水準,1級,30.0km,石川県,国際航業,"58.8.9,59.3.30",386
石川県,金沢市,総合計画,"撮影,図化","4000,,500","3.0KM2,0.9KM2",金沢大学,セントラル航業,"58.6.30,58.9.30",
石川県,寺井町,都市計画,"撮影,図化","12500,,2500","38.8KM2,13.3KM2",寺井町,北星測量設計,"58.7.25,59.3.10",336
石川県,能登島町,農村総合整備,"撮影,図化","12500,,5000","113.0KM2,47.5KM2",能登島町,セントラル航業,"58.8.25,58.10.30",655
石川県,能都町,道路台帳,"図化,図化","500,,1000","1.1KM2,4.4KM2",能都町,国際航業,"58.6.13,59.3.31",
石川県,金沢市,施設計画,図化,500,0.3KM2,石川県,セントラル航業,"58.9.20,58.12.20",
石川県,鹿島町,道路計画,図化,1000,1.2KM2,北陸地建金沢工事事務所,セントラル航業,"58.5.13,58.9.10",
石川県,"尾口村,吉野谷村",砂防計画,図化,2500,4.0KM2,北陸地建金沢工事事務所,パスコ,"58.9.22,59.1.18",799
福井県,金津町,下水道計画,水準,2級,11.0km,金津町,三和測量建設,"58.8.20,58.9.30",
福井県,丸岡町,下水道計画,水準,2級,11.0km,丸岡町,第一測量,"58.6.1,58.8.31",
福井県,福井市,道路台帳,"撮影,図化","4000,,500","55.5KM2,9.0KM2",福井市,三和測量建設,"58.6.25,60.11.24",262
