都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"雄武町,",国道238元稲府道路工事用確,基準点,3級,3point,網走開発建設部助言631122A0660,北海道測量事業協同組合,"63.11.24,63.12.19",,,
北海道,"初山別村,",国有地(開拓財産)の境界測量,基準点,3級,3point,北海道留萌支庁助言630714A0397,(株)やまざき測量設計事務所,"63.07.26,63.09.13",,,
北海道,"枝幸町,",開拓地整備乙忠部二地区道路用確,基準点,3級,1.9km,北海道宗谷支庁助言630902A0488,(株)やまざき測量設計事務所,"63.08.25,63.09.10",,,
北海道,"札幌市,",中の川砂防工事計画,基準点,3級,4point,北海道札幌土木現業所助言630929A0533,新和技建(株),"63.08.22,63.10.20",,,
北海道,"小樽市,",国有地開拓財産の境界確定,"基準点,基準点","3級,,4級","10point,85point",北海道後志支庁助言630719A0407,"ロイヤル測量設計(株),北海航測(株)","63.08.01,63.11.12",,,
北海道,"浜頓別町,",国有地(開拓財産)の境界測量,"基準点,基準点","3級,,4級","5point,3point",北海道宗谷支庁助言630815A0456,ロイヤル測量設計(株),"63.07.29,63.10.01",,,
北海道,"赤井川村,",河川計画(赤井川計画調査),基準点,3級,3point,北海道小樽土木現業所助言010221A0697,ロイヤル測量設計(株),"01.02.20,01.03.30",,,
北海道,"七飯町,",道路計画(歩道新設),基準点,3級,5point,北海道函館土木現業所助言630622A0306,(株)アリヤス設計コンサルタント,"63.06.05,63.08.31",,,
北海道,"豊富町,",国有地(開拓財産)の境界測量,基準点,3級,6point,北海道宗谷支庁助言630815A0454,(株)香島測量設計事務所,"63.07.29,63.09.07",,,
北海道,"猿払村,",草地開発事業用確(シネシンコ),基準点,3級,1.7km,北海道宗谷支庁助言630823A0447,藤井測量設計(株),"63.08.10,63.09.20",,,
北海道,"訓子府町,",常盤地区道路設計業務,基準点,3級,2point,網走開発建設部助言630617A0282,(株)ドボク管理,"63.06.06,63.08.08",,,
北海道,"端野町,",国道339端野峠3工区設計業務,基準点,3級,3point,網走開発建設部助言630623A0325,(株)ドボク管理事務所,"63.06.04,63.09.16",,,
北海道,"端野町,",国道39端野道路2工区設計業務,基準点,3級,2point,網走開発建設部助言630623A0326,(株)ドボク管理事務所,"63.05.21,63.09.07",,,
北海道,"常呂町,",常呂地区ライトコロ川幹線設計,基準点,3級,2point,網走開発建設部助言630729A0424,(株)ドボク管理事務所,"63.06.25,63.09.30",,,
北海道,"恵庭市,広島町,",道路計画(江別恵庭線),基準点,3級,5point,北海道札幌土木現業所助言630627A0337,北海道パブリックコンサルタント(株),"63.06.27,63.09.30",,,
北海道,"岩内町,",道路建設工事,基準点,3級,4point,北海道岩内町助言630811A0433,北海道パブリックコンサルタント(株),"63.07.18,63.09.20",,,
北海道,"岩見沢市,三笠市,",3・4・1岩見沢三笠線改良工事,"基準点,水準","3級,,3級","3point,3point",北海道札幌土木現業所助言630815A0443,北海道パブリックコンサルタント(株),"63.08.05,63.08.20",,,
北海道,"共和町,岩内町,",道路計画,基準点,3級,5point,北海道小樽土木現業所助言630627A0334,北海道土木設計(株),"63.06.02,63.09.30",,,
北海道,"岩内町,",公園通り道路改良工事実測線調査,基準点,3級,2point,北海道岩内町助言630722A0416,北海道土木設計(株),"63.07.25,63.09.30",,,
北海道,"栗沢町,",夕張岩見沢線改良工事計画図作成,基準点,3級,4point,北海道札幌土木現業所助言631024A0598,北海道土木設計(株),"63.10.18,63.12.25",,,
北海道,"札幌市,",その他,基準点,3級,5point,北海道札幌市助言631122A0657,(株)野崎事務所,"63.11.21,63.12.20",,,
北海道,"南富良野町,",開拓地整備落合第三地区用地確定,基準点,3級,1.7km,北海道上川支庁助言630729A0421,北海道農業土木技術指導協同組合,"63.07.28,63.10.30",,,
北海道,"浜益村,",国道231号浜益道路実測線調査,基準点,3級,5point,札幌開発建設部滝川道路事務所助言631101A0603,大西測量設計(株),"63.10.27,63.11.17",,,
北海道,"上磯町,",道路計画,"基準点,水準","3級,,3級","4point,2point",函館開発建設部助言630811A0434,(株)構造技研,"63.07.01,63.08.31",,,
北海道,"札幌市,",豊平川局部改良工事用地測量,基準点,3級,5point,北海道札幌土木現業所助言630627A0336,開成測量(株),"63.06.17,63.08.30",,,
北海道,"新十津川町,",徳富川区域測量,基準点,3級,10point,北海道札幌土木現業所助言631110A0640,開成測量(株),"63.10.31,01.02.20",,,
北海道,"恵庭市,",道路改良工事実測線調査,基準点,3級,4point,北海道札幌土木現業所助言630929A0532,(株)ケーエッチアイ札幌一般測量,"63.08.29,63.10.30",,,
北海道,"北竜町,",増毛稲田線現道拡幅工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言630902A0482,明和測量工業(株),"63.08.22,63.10.20",,,
北海道,"増毛町,",信砂川道単改修工事用地測量,基準点,3級,5.0km,北海道留萌土木現業所助言631101A0601,小杉測量設計(株),"63.10.24,63.11.30",,,
北海道,"歌志内市,",砂川・歌志内線道路改良計画,"基準点,水準","3級,,3級","3point,3point",北海道札幌土木現業所助言630704A0354,(株)シーイーサービス,"63.06.10,63.10.28",,,
北海道,"岩見沢市,",三笠栗山線交通施設工事用地測量,基準点,3級,2point,北海道札幌土木現業所助言630929A0539,(有)西岡測量設計事務所,"63.09.19,63.11.10",,,
北海道,"大野町,",道路改築計画,基準点,3級,2point,函館開発建設部助言630729A0423,(株)構研エンジニアリング,"63.06.10,63.08.08",,,
北海道,"斜里町,",334真鯉地区道路改築路線測量,基準点,3級,8point,網走開発建設部助言630719A0404,(株)土木技術コンサルタント,"63.07.05,63.10.08",,,
北海道,"紋別市,",道道鴻ノ舞地区道路改築路線測量,基準点,3級,6point,網走開発建設部助言630719A0405,(株)土木技術コンサルタント,"63.07.05,63.09.30",,,
北海道,"小樽市,",国有地開拓財産の境界確定,"基準点,基準点","3級,,4級","13point,110point",北海道後志支庁助言630719A0408,"(株)矢本測量,北海道パブリックコンサルタント(株)","63.08.01,63.11.12",,,
