都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
和歌山県,"新宮市,",地形図作成,"カラー撮影,数値図化","5000,,1000","1.5KM2,0.1KM2",紀南工事事務所助言F0290,(株)ジェクト,"2000.01.05,2000.03.25",,
和歌山県,"田辺市,",ほ場整備,"基準点,基準点","2級,,3級","2point,5point",和歌山県土地改良事業団体連合会助言F0311,冨貴測量(株),"2000.02.20,2000.03.25",,
和歌山県,"川辺町,",ほ場整備,"基準点,基準点","3級,,4級","4point,15point",和歌山県土地改良事業団体連合会助言F0312,(株)初山,"2000.02.20,2000.03.25",,
和歌山県,"田辺市,",都市計画,"カラー撮影,写測修正","8000,,2500","136.4KM2,42.7KM2",和歌山県田辺市助言F0349,国際航業(株),"2000.01.18,2000.12.31",,
和歌山県,"和歌山市,海南市,",河川管理,"カラー撮影,写測図化","8000,,1000","17.7KM2,1.6KM2",和歌山県海草振興局建設部助言F0351,(株)パスコ,"2000.03.11,2000.04.30",,
鳥取県県境岡山県,"船岡町,八東町,若桜町,用瀬町,佐治村,智頭町,県境加茂町,上齋原村,阿波村,勝田町,奈義町,勝北町,東粟倉村,",森林計画,撮影,20000,847KM2,鳥取県助言G0003,(株)ウエスコ,"1999.04.30,1999.10.29",,
鳥取県県境島根県県境岡山県県境広島県県境山口県,"羽合町,県境東出雲町,赤来町,県境岡山市,鴨方町,寄島町,県境湯来町,庄原市,三良坂町,布野村,県境長門市,徳山市,三隅町,",郵便地図調製,編集,25000,749.3KM2,中国郵政局助言G0019,直営,"1999.05.28,2000.03.31",,
鳥取県県境岡山県県境広島県,"日南町,県境芳井町,備中町,神郷町,哲西町,県境福山市,油木町,神石町,豊松村,三和町,上下町,総領町,西城町,東城町,",森林計画,撮影,20000,886KM2,広島県助言G0054,アジア航測(株),"1999.04.28,1999.12.28",,
鳥取県,"鳥取市,",地盤変動調査,水準,1級,14km,鳥取県助言G0078,(株)八州,"1999.07.01,1999.07.20",,
鳥取県,"東伯町,",ほ場整備,基準点,2級,1point,鳥取県東伯町助言G0090,鳥取県土地改良事業団体連合会,"1999.07.12,1999.12.31",,
鳥取県,"大栄町,",ほ場整備,基準点,2級,4point,大倉土地改良区助言G0114,鳥取県土地改良事業団体連合会,"1999.08.02,1999.12.31",,
鳥取県,"江府町,",ほ場整備,基準点,2級,1point,鳥取県江府町土地改良区助言G0117,鳥取県土地改良事業団体連合会,"1999.08.04,1999.08.31",,
鳥取県,"東伯町,",都市計画,"カラー撮影,写測修正,撮影","12500,,2500,,8000","23.9KM2,14.1KM2,82.2",鳥取県東伯町助言G0130,(株)ワールド,"1999.07.16,1999.10.30",,
鳥取県,"赤碕町,",都市計画,"カラー撮影,写測修正","12500,,2500","24KM2,9.8KM2",鳥取県赤碕町助言G0134,(株)ワールド,"1999.07.23,1999.12.20",,
鳥取県,"気高町,",総合計画,"撮影,空三,数値図化,白地図等,水準","2500,,2500,,2500,,簡級","32M,15.1,16.87,30.5",鳥取県気高町助言G0161,(株)ウエスコ,"1999.08.07,2000.05.31",,
鳥取県,北条町,ほ場整備,基準点,2級,1point,鳥取県北条町土地改良区助言G0165,鳥取県土地改良事業団体連合会,"1999.07.12,1999.12.31",,
鳥取県,"佐治村,",ほ場整備,基準点,2級,6point,鳥取県佐治村土地改良区助言G0173,鳥取県土地改良事業団体連合会,"1999.09.10,1999.12.31",,
鳥取県,"鳥取市,",都市計画,"カラー撮影,数値図化,数値図化,白地図等","10000,,2500,,1000","237.2KM2,129.5KM2,26,66.1",鳥取県鳥取市助言G0192,(株)ウエスコ,"1999.09.23,2001.01.31",,
鳥取県県境岡山県県境広島県県境山口県,"郡家町,船岡町,県境岡山市,灘崎町,旭町,川上町,芳井町,県境上下町,西城町,三和町,東広島市,尾道市,新市町,向島町,県境周防大島町,",郵便地図調整,編集,25000,,郵政省中国郵政局助言G0204,直営,"1999.10.01,2000.07.31",,
鳥取県,"名和町,中山町,",農地開発,基準点,2級,7point,鳥取県大山農地開発局助言G0229,鳥取県土地改良事業団体連合会,"1999.11.01,2000.02.28",,
鳥取県,"溝口町,",農地開発,基準点,2級,1point,鳥取県大山農地開発局助言G0230,鳥取県土地改良事業団体連合会,"1999.11.01,2000.02.28",,
鳥取県,"泊村,",ほ場整備,基準点,2級,3point,鳥取県泊村助言G0236,鳥取県土地改良事業団体連合会,"1999.10.25,1999.12.31",,
