都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
群馬県,"藪塚本町,",道路台帳,"撮影,写測図化","8000,,1000","20.9KM2,20.9KM2",群馬県藪塚本町助言600930C0279,"技研測量設計(株),(株)オウギ工設,成果***審査***","60.10.01,61.09.30",601267,,
群馬県,"中之条町,吾妻町,長野原町,嬬恋村,六合村,",道路台帳,"撮影,空三","4000,,","45.2KM2,133M",群馬県中之条土木事務所助言601021C0305,"技研測量設計(株),(株)オウギ工設,三山測量設計(株),三共測量(株),成果***審査***","60.11.01,61.03.10",,,
群馬県,"黒保根村,",道路台帳,"撮影,写測図化","8000,,1000","66.4KM2,8.7KM2",群馬県黒保根村助言601220C0375,"技研測量設計(株),(株)オウギ工設,成果***審査***","60.12.01,61.03.25",601790,,
群馬県,"高崎市,伊勢崎市,太田市,館林市,境町,玉村町,尾島町,大泉町,邑楽町,",道路台帳,"撮影,写測図化,水準","4000,,500,,簡級","44.9KM2,2.3KM2,46.6km",群馬県伊勢崎土木事務所助言600730C0231,"セントラル航業(株),両毛測量(株),東亜測量設計(株),(株)黒岩測量設計事務所,成果***審査***","60.06.15,61.03.10",,,
群馬県,"小野上村,",道路台帳,"撮影,写測図化","8000,,1000","27.3KM2,5.6KM2",群馬県小野上村助言600423C0118,"藤和航測(株),成果***審査***","60.04.18,61.08.30",600350,,
群馬県,"赤城村,",道路台帳,"撮影,写測図化","8000,,1000","78.2KM2,32.7KM2",群馬県赤城村助言600410C0112,"朝日航洋(株),成果***審査***","60.04.01,61.12.25",600072,,
群馬県,"渋川市,榛名町,倉渕村,箕郷町,群馬町,榛東村,松井田町,吾妻町,長野原町,",道路台帳,"撮影,写測図化","4000,,500","94.0KM2,4.6KM2",群馬県高崎土木事務所助言600905C0257,"朝日航洋(株),成果***審査***","60.07.06,61.03.15",,,地名修正
群馬県,"高崎市,藤岡市,玉村町,",河川図修正,"カラー撮影,写測修正","12500,,2500","107.0KM2,41.4KM2",高崎工事事務所助言601128C0353,"アジア航測(株),成果***審査***","60.12.05,61.03.09",,,
群馬県,"前橋市,高崎市,伊勢崎市,東村,藪塚本町,",道路計画,カラー撮影,8000,48.5KM2,高崎工事事務所助言610320C0429,"アジア航測(株),成果***審査***","61.03.22,61.03.31",,,
群馬県,"渋川市,",都市計画,"写測図化,編集,編集,編集","2500,,2500,,10000,,25000","17.6KM2,34.2KM2,51.8KM2,51.8KM2",群馬県渋川市助言601101C0320,"国際航業(株),成果***審査***","60.10.21,61.07.31",601497,,
群馬県,"子持村,",道路計画,写測図化,1000,0.2KM2,高崎工事事務所助言600905C0256,"アジア航測(株),成果601025審査***","60.09.04,60.10.18",,,
群馬県,"沼田市,",道路計画,写測図化,1000,0.2KM2,高崎工事事務所助言601114C0329,"アジア航測(株),成果610114審査***","60.11.18,60.12.20",,,
群馬県,"中里村,",管内図作成,"写測図化,写測修正","10000,,10000","9.5KM2,41.7KM2",群馬県中里村助言600527C0145,"三和航測(株),成果***審査***","60.05.01,61.07.20",600395,,
群馬県,"藤岡市,",農用地集団化事業,"写測図化,水準","1000,,3級","4.4KM2,18.0km",群馬県藤岡市助言600917C0270,"セントラル航空測量(株),成果610310審査***","60.08.29,60.11.30",601208,,
群馬県,"箕郷町,",道路計画,写測図化,500,1.9KM2,群馬県箕郷町助言610320C0428,"セントラル航空測量(株),成果***審査***","61.02.15,61.03.30",,,
群馬県,"安中市,",都市計画,"編集,編集,編集","2500,,10000,,25000","101.6KM2,101.6KM2,101.6KM2",群馬県安中市助言600614C0174,"朝日航洋(株),成果***審査***","60.06.12,60.09.23",,,
群馬県,"新里村,白沢村,",郵便地図調整,"編集,編集","10000,,25000","1316.7KM2,2202.0KM2",関東郵政局助言600424C0122,"直営,成果***審査***","60.05.20,61.03.27",,,
埼玉県,"本庄市,",道路台帳,"基準点,基準点,平板","1級,,2級,,500","18point,24point,21.1KM2",埼玉県本庄市助言600423C0120,"昭和測量工業(株),成果610416審査***","59.12.15,62.02.17",600352,,
埼玉県,"川島町,",道路台帳,"基準点,基準点,撮影,撮影,写測図化,写測図化","1級,,2級,,4000,,12500,,500,,2500","10point,20point,42.1KM2,42.1KM2,17.7KM2,42.1KM2",埼玉県川島町助言600702C0188,"(株)パスコ,中央航業(株),成果***審査***","60.06.29,62.02.28",600626,,
埼玉県,"大利根町,",道路台帳,"基準点,基準点,撮影,写測図化","1級,,2級,,4000,,500","18point,36point,24.7KM2,7.5KM2",埼玉県大利根町助言610213C0407,"太平洋航業(株),成果***審査***","61.01.20,62.02.28",601962,,
埼玉県,"横瀬町,",道路台帳,"基準点,撮影,撮影,写測図化,写測図化","2級,,4000,,8000,,500,,1000","19point,12.7KM2,49.5KM2,2.6KM2,2.5KM2",埼玉県横瀬町助言601007C0291,"東日本航空(株),成果***審査***","60.09.30,62.03.10",601324,,
埼玉県,"所沢市,",土地区画整理,"基準点,平板","2級,,500","6point,0.6KM2",所沢市中富南部特定土地区画整理組合助言600930C0280,"昭和測量工業(株),成果***審査***","60.10.01,61.02.28",,,
埼玉県,"両神村,",道路台帳,"基準点,撮影,写測図化","2級,,4000,,500","10point,53.3KM2,2.8KM2",埼玉県両神村助言600607C0162,"(株)パスコ,成果***審査***","60.06.01,61.12.25",600441,,
埼玉県,"吉川町,",道路台帳,基準点,2級,68point,埼玉県吉川町助言600626C0183,"(株)パスコ,成果***審査***","60.06.14,61.02.25",600598,,
埼玉県,"神泉村,",道路台帳,"基準点,撮影,写測図化","2級,,4000,,500","16point,24.0KM2,3.6KM2",埼玉県神泉村助言600702C0189,"(株)パスコ,成果***審査***","60.07.05,61.08.20",600627,,
埼玉県,"神川村,",道路台帳,"基準点,撮影,写測図化","2級,,8000,,1000","18point,23.4KM2,11.0KM2",埼玉県神川村助言601016C0297,"(株)パスコ,成果***審査***","60.10.11,61.10.20",601367,,
埼玉県,"富士見市,",土地区画整理,"基準点,平板","2級,,500","7point,0.4KM2",富士見市針ケ谷特定土地区画整理組合助言600614C0172,"(財)埼玉県都市整備公社,成果***審査***","60.07.01,62.03.31",,,
埼玉県,"三芳町,",道路台帳,基準点,2級,28point,埼玉県三芳町助言600618C0158,"三協測量設計(株),成果601111審査***","60.06.01,60.10.31",600499,,
埼玉県,"日高町,",道路台帳,"基準点,平板","3級,,500","15point,0.8KM2",埼玉県日高町助言600719C0213,"平和測量(株),埼玉コンサルタント(株),関東工営(株),成果***審査***","60.06.01,61.02.20",,,
埼玉県,"入間市,",土地区画整理,"基準点,平板","簡級,,500","0.2KM2,0.2KM2",入間市扇西土地区画整理組合助言601209C0365,"大和測量(株),成果610421審査***","60.12.02,61.03.20",,,
埼玉県,"川越市,熊谷市,川口市,浦和市,大宮市,行田市,所沢市,飯能市,加須市,本庄市,東松山市,岩槻市,春日部市,狭山市,羽生市,鴻巣市,深谷市,上尾市,与野市,草加市,",地盤変動調査,水準,1級,1555.0km,埼玉県助言601119C0337,"朝日航洋(株),成果610514審査***","60.11.20,61.02.20",601617,,
埼玉県,"与野市,",道路台帳,"平板,平板,基準点","500,,250,,簡級","0.3KM2,0.1KM2,22.0km",埼玉県与野市助言600627C0184,"国際航業(株),成果***審査***","60.05.17,61.02.28",,,
埼玉県,"鳩ケ谷市,",道路台帳,"平板,基準点,カラー撮影,写測図化","500,,簡級,,4000,,500","1.0KM2,38.0km,6.2KM2,1.0KM2",埼玉県鳩ケ谷市助言600627C0185,"国際航業(株),成果***審査***","60.05.01,61.03.31",,,
埼玉県,"八潮市,",土地区画整理,平板,500,1.2KM2,埼玉県八潮市助言600527C0141,"昭和測量工業(株),成果***審査***","60.06.03,61.03.31",,,
埼玉県,"岩槻市,",土地区画整理,平板,500,1.0KM2,埼玉県岩槻市助言600711C0206,"昭和測量工業(株),成果***審査***","60.06.20,60.12.10",,,
埼玉県,"熊谷市,",道路台帳,"平板,基準点","500,,簡級","0.7KM2,0.7KM2",埼玉県熊谷市助言610113C0386,"昭和測量工業(株),成果***審査***","60.12.16,61.03.25",,,
埼玉県,"三郷市,",道路台帳,"平板,基準点,水準","500,,簡級,,3級","5.3KM2,5.3KM2,96.8km",埼玉県三郷市助言600905C0264,"(株)写測,大洋画地測量(株),国際航業(株),アジア航測(株),昭和測量工業(株),成果***審査***","60.07.01,61.06.30",,,
埼玉県,"大井町,",道路台帳,"平板,基準点","500,,簡級","0.8KM2,30.9km",埼玉県大井町助言600702C0190,"(株)埼玉中央測量,成果610329審査***","60.07.01,61.03.10",,,
埼玉県,"新座市,",都市計画,"撮影,写測図化","10000,,2500","22.9KM2,22.9KM2",埼玉県新座市助言600719C0214,"東日本航空(株),成果***審査***","60.07.10,60.11.30",600811,,
埼玉県,"上福岡市,",都市計画,"撮影,写測図化","10000,,2500","6.7KM2,6.7KM2",埼玉県上福岡市助言601015C0295,"東日本航空(株),成果***審査***","60.09.30,61.02.15",601365,,
埼玉県,"行田市,久喜市,蓮田市,騎西町,川里村,白岡町,菖蒲町,",河川計画,"撮影,写測図化","12500,,2500","104.0KM2,12.0KM2",埼玉県南部河川改修事務所助言601128C0348,"国際航業(株),成果610501審査***","60.11.06,61.03.10",,,
埼玉県,"富士見市,",都市計画,"撮影,写測図化","12500,,2500","19.5KM2,19.5KM2",埼玉県富士見市助言601204C0359,"国際航業(株),成果***審査***","60.11.01,61.02.28",601722,,
埼玉県,"富士見市,",道路・水路台帳,"撮影,写測図化","4000,,500","19.5KM2,5.2KM2",埼玉県富士見市助言601204C0360,"国際航業(株),成果***審査***","60.08.07,61.01.31",601723,,
埼玉県,"八潮市,",都市計画,"撮影,写測図化","12500,,2500","32.3KM2,18.1KM2",埼玉県八潮市助言600527C0144,"(株)八州,成果***審査***","60.05.08,60.09.19",600394,,
埼玉県,"与野市,",路線測量,"撮影,写測図化","4000,,500","20.0KM2,0.1KM2",埼玉県与野市助言600608C0166,"(株)八州,成果***審査***","60.05.16,60.10.25",600445,,
埼玉県,"飯能市,",都市計画,"撮影,撮影,写測図化,写測図化","11000,,30000,,2500,,10000","39.0KM2,95.1KM2,39.0KM2,95.1KM2",埼玉県飯能市助言600614C0171,"(株)八州,成果610325審査***","60.06.12,60.12.20",600495,,
埼玉県,"妻沼町,",都市計画,"撮影,写測図化","12500,,2500","65.0KM2,11.0KM2",埼玉県妻沼町助言601024C0308,"(株)写測,成果***審査***","60.10.07,61.01.31",601471,,
埼玉県,"大滝村,",森林計画,撮影,16000,288.0KM2,埼玉県助言600521C0124,"(株)パスコ,成果***審査***","60.05.01,60.10.31",600369,,
埼玉県,"大宮市,",都市計画,"撮影,写測修正","12500,,2500","134.6KM2,88.9KM2",埼玉県大宮市助言601031C0317,(株)パスコ,"60.10.22,61.03.20",601494,,
埼玉県,"春日部市,",都市計画,"撮影,写測修正,撮影,写測図化","10000,,2500,,4000,,500","38.0KM2,38.0KM2,6.5KM2,0.5KM2",埼玉県春日部市助言601111C0324,(株)パスコ,"60.11.11,61.03.15",601597,,
