都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"白糠町,",その他,"基準点測量,基準点測量","２級,,３級","7point,1point","北海道釧路総合振興局 
助言　　　H24.6.13  A0072","有限会社金子設計事務
所 ","H24.6.9 
H24.10.31",,
北海道,"釧路市,",その他,"基準点測量,基準点測量","２級,,３級","7point,7point","北海道釧路総合振興局 
助言　　　H24.6.13  A0073",有限会社渋谷測量社 ,"H24.6.9 
H24.10.31",,
北海道,"神恵内村,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","1point,1point,1point","北海道後志総合振興局 
助言　　　H24.6.13  A0074",有限会社柴崎測量 ,"H24.6.18 
H24.8.31",,
北海道,"上富良野町,",その他,"数値撮影(デジタル),数値図化","12,,1000","14.2KM2,10.41KM2","北海道上川総合振興局 
助言　　　H24.6.13  A0075",株式会社シバンス ,"H24.5.29 
H24.12.20",,
北海道,"大空町,",その他,基準点測量,３級,2point,"北海道オホーツク総合振興局 
助言　　　H24.6.14  A0076",株式会社北杜設計 ,"H24.6.12 
H24.10.30",,
北海道,"むかわ町,",その他,"基準点測量,基準点測量,水準測量,数値撮影(デジタル),航空レーザ測量,数値図化,水準測量","１級,,３級,,３級,,12,,1000,,1000,,２級","1point,3point,18km,2.71KM2,2.71KM2,0.35KM2,1.55km","北海道胆振総合振興局 
助言　　　H24.6.14  A0077","朝日航洋株式会社 
北海航測株式会社 ","H24.4.27 
H24.9.28",,
北海道,"芦別市,",その他,"基準点測量,基準点測量","１級,,３級","3point,23point","北海道空知総合振興局 
助言　　　H24.6.18  A0078","パブリックコンサルタント
株式会社 ","H24.6.12 
H25.3.8",,
北海道,"留萌市,",その他,基準点測量,３級,5point,"北海道留萌振興局 
助言　　　H24.6.18  A0079","株式会社富士建設コン
サル ","H24.6.18 
H24.12.10",,
北海道,"泊村,共和町,",その他,"数値撮影(デジタル),数値図化","12,,2500","69.9KM2,25.9KM2","北海道後志総合振興局 
助言　　　H24.6.18  A0080","株式会社シン技術コンサ
ル ","H24.5.2 
H24.10.22",,
北海道,"喜茂別町,",その他,基準点測量,３級,2point,"北海道喜茂別町 
助言　　　H24.6.18  A0081",ダイシン設計株式会社 ,"H24.6.14 
H24.7.31",,
北海道,"白糠町,",その他,"基準点測量,基準点測量","１級,,３級","5point,15point","北海道釧路総合振興局 
助言　　　H24.11.14  A0082","株式会社郡土木コンサ
ルタント ","H24.6.14 
H24.10.31",,
北海道,"標茶町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","4point,1point,6point","北海道釧路総合振興局 
助言　　　H24.6.18  A0083",有限会社柴田測量社 ,"H24.6.14 
H24.10.31",,
北海道,"標茶町,",その他,基準点測量,２級,10point,"北海道釧路総合振興局 
助言　　　H24.6.18  A0084","山下コンサルタント株式
会社 ","H24.6.14 
H24.10.31",,
北海道,"標茶町,",その他,"基準点測量,基準点測量,基準点測量","１級,,２級,,３級","2point,12point,3point","北海道釧路総合振興局 
助言　　　H24.6.18  A0085","株式会社小出コンサルタ
ント ","H24.6.14 
H24.10.31",,
北海道,"幌延町,",その他,"基準点測量,基準点測量","２級,,３級","1point,3point","北海道宗谷総合振興局 
助言　　　H24.6.18  A0086",北陽測量設計株式会社 ,"H24.6.11 
H24.9.28",,
北海道,"幌延町,",その他,"基準点測量,基準点測量","１級,,３級","2point,2point","北海道宗谷総合振興局 
助言　　　H24.6.18  A0087",宗谷測量株式会社 ,"H24.6.18 
H24.9.28",,
北海道,"伊達市,",その他,基準点測量,３級,7point,"北海道胆振総合振興局 
助言　　　H24.6.18  A0088","株式会社山口技研コン
サルタント ","H24.6.13 
H24.11.30",,
北海道,"美幌町,",その他,"基準点測量,基準点測量","１級,,３級","1point,4point","北海道オホーツク総合振興局 
助言　　　H24.6.18  A0089",株式会社シビテック ,"H24.6.13 
H24.10.30",,
北海道,"滝川市,",その他,基準点測量,３級,2point,"北海道空知総合振興局 
助言　　　H24.6.18  A0090","株式会社北海道水工コ
ンサルタンツ ","H24.6.13 
H24.11.30",,
