都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.09修正
栃木県,"小山市,野木町,藤岡町,",河川計画,撮影,15000,300.0KM2,利根川上流工事事務所助言630208C0238,アジア航測(株),"62.12.25,63.03.23",622181*,,
栃木県,"足利市,佐野市,岩舟町,田沼町,葛生町,",河川管理,"撮影,撮影,写測図化","12500,,25000,,2500","812.9KM2,812.9KM2,30.0KM2",渡良瀬川工事事務所助言630222C0272,(株)協同測量社,"62.11.25,63.02.20",622275*,,
栃木県,"小川町,",下水道計画,"撮影,写測図化","12500,,2500","33.7KM2,1.7KM2",栃木県小川町助言630128C0245,日研測量(株),"63.01.02,63.01.31",622187,,
栃木県,"芳賀町,",河川管理,"撮影,写測図化","8000,,1000","22.3KM2,2.0KM2",栃木県土木部助言630128C0235,協和測量設計(株),"62.12.21,63.03.25",622178,,
栃木県,"足利市,",道路計画,カラー撮影,8000,19.0KM2,高崎工事事務所助言630301C0282,アジア航測(株),"63.02.05,63.03.25",622332*,,
栃木県,"今市市,",下水道計画,写測図化,500,0.8KM2,栃木県今市市助言621211C0193,アジア航測(株),"62.11.12,63.03.10",,,
栃木県,"黒磯市,",下水道計画,写測図化,500,2.0KM2,栃木県黒磯市助言630128C0234,日研測量(株),"63.01.07,63.04.20",,,
栃木県,"足尾町,",河川計画,写測図化,5000,185.6KM2,渡良瀬川工事事務所助言621102C0145,(株)外所測量設計事務所,"62.08.28,62.12.05",621644,,
群馬県,"千代田町,",土地区画整理,"基準点,基準点,基準点,平板","1級,,3級,,4級,,500","8point,22point,214point,0.4KM2",群馬県千代田町助言630114C0215,日本総合技術開発(株)伸栄,"62.12.17,63.03.22",,,
群馬県,"前橋市,",土地境界査定資料,基準点,2級,12point,群馬県前橋市助言630114C0223,関東測量(株),"62.10.26,63.02.29",,,
群馬県,"前橋市,",土地区画整理,"基準点,基準点,基準点,水準,平板,平板","2級,,3級,,4級,,3級,,250,,500","3point,3point,14point,4.5km,0.1KM2,0.1KM2",商店街地区市街地再開発組合設立準備組合助言630222C0269,関東測量(株),"63.02.01,63.02.29",,,
