都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
滋賀県,びわ町,"道路台帳,都市計画","撮影,写測,撮影,写測","8000,,1000,,12500,,2500","31.0KM2,2.2KM2,25.0KM2,17.5KM2",びわ町,東日本航空,"54.6.25,55.3.31",281,,,郡削除,,
滋賀県,愛知川町,ほ場整備,"撮影,写測","8000,,1000","13.5KM2,5.6KM2",愛知川町,国際航業,"54.6.15,54.7.30",288,,,郡削除,,
滋賀県,近江八幡市,道路台帳,撮影,4000,76.5KM2,近江八幡市,アジア航測,"54.7.5,55.3.30",343,,,,,
滋賀県,能登川町,道路台帳,"撮影,写測","4000,,500","31.3KM2,2.8KM2",能登川町,アジア航測,"54.6.29,56.6.30",347,,,郡削除,,
滋賀県,石部町,道路台帳,"撮影,写測","4000,,500","13.3KM2,1.5KM2",石部町,富士測量,"54.8.1,55.3.31",559,,,郡削除,,
滋賀県,大津市,都市計画,"撮影,写測","12500,,2500","180.0KM2,165.7KM2",大津市,東洋航空事業,"54.8.20,55.3.5",561,,,,,
滋賀県,長浜市,道路台帳,"撮影,写測","8000,,1000","45.5KM2,2.7KM2",長浜市,パシフイック航業,"54.10.1,55.1.31",710,,,,,
滋賀県,大津市,道路計画,"撮影,写測","8000,,1000","6.5KM2,1.2KM2",近畿地建滋賀国道工事事務所,国際航業,"54.8.30,54.12.27",,,,,,
滋賀県,中主町,道路台帳,"撮影,写測","4000,,500","20.8KM2,2.2KM2",中主町,アジア航測,"54.10.1,55.3.31",793,,,郡削除,,
滋賀県,豊郷町,道路台帳,"撮影,写測","8000,,1000","8.0KM2,1.3KM2",豊郷町,パシフイック航業,"54.11.20,55.7.31",1018,,,郡削除,,
滋賀県,野洲町,道路台帳,"撮影,写測","8000,,1000","46.0KM2,4.2KM2",野洲町,パシフイック航業,"54.12.1,55.7.31",1019,,,郡削除,,
滋賀県,"草津市,大津市,栗東町",河川計画,写測,5000,63.8KM2,近畿地建大戸川ダム調査事務所,パシフイック航業,"54.12.24,55.3.30",,,,郡削除,,
滋賀県,大津市,河川計画,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","11.5KM2,1.5KM2,3.4KM2,0.3KM2",近畿地建琵琶湖工事事務所,アジア航測,"55.1.15,55.3.29",,,測量地域修正,,,
滋賀県,守山市,総合計画,"撮影,写測新規,写測修正","8000,,1000,,1000","82.5KM2,6.2KM2,2.4KM2",守山市,関西航測,"54.11.27,55.3.30",1246,写測修正,,,,
滋賀県,"西浅井町,マキノ町",森林計画,写図,5000,65.0KM2,滋賀県,協同測量社,"54.12.25,55.3.25",1247,,,郡削除,,
滋賀県,新旭町,道路台帳,"撮影,写測","8000,,1000","24.0KM2,2.0KM2",新旭町,国際航業,"54.10.24,55.3.31",1327,,,郡削除,,
滋賀県,栗東町,"ほ場整備,下水道計画","撮影,撮影,写測,写測","8000,,4000,,1000,,500","53.0KM2,3.3KM2,1.1KM2,1.4KM2",栗東町,関西航測,"55.3.1,55.5.31",,,,郡削除,,
滋賀県,彦根市,道路台帳,"撮影,写測","4000,,500","94.0KM2,13.5KM2",彦根市,サンヨー開発測量,"55.3.18,59.3.31",1359,,,道削除,,
滋賀県,"水口町,甲西町",道路整備,"撮影,写測","8000,,1000","7.6KM2,3.1KM2",近畿地建滋賀国道工事事務所,国際航業,"55.3.19,55.4.30",,,,郡削除,,
京都府,大山崎町,道路台帳,"撮影,写測","4000,,500","9.0KM2,1.2KM2",大山崎町,関西航測,"54.1.22,54.7.20",,,,郡削除,,
京都府,網野町,道路台帳,"撮影,写測","8000,,1000","75.3KM2,5.7KM2",網野町,富士測量,"54.2.23,54.11.30",54,,,郡削除,,
京都府,南山城村,道路台帳,"撮影,写測","8000,,1000","64.0KM2,1.5KM2",南山城村,内外エンジニアリング,"54.4.5,54.9.30",91,,,郡削除,,
京都府,網野町,都市計画,写測,2500,37.0KM2,網野町,富士測量,"54.5.7,54.9.30",118,,,郡削除,,
京都府,大山崎町,都市計画,写測,2500,4.8KM2,大山崎町,関西航測,"54.4.10,54.7.27",218,,,郡削除,,
京都府,峰山町,道路台帳,"撮影,写測","8000,,1000","120.0KM2,6.2KM2",峰山町,富士測量,"54.7.16,55.3.30",287,,,郡削除,,
京都府,精華町,都市計画,"撮影,撮影,写測修正,写測修正","4000,,12500,,500,,2500","12.0KM2,20.0KM2,4.4KM2,9.7KM2",精華町,国際航業,"54.6.11,54.8.20",344,写測修正,,郡削除,,
京都府,"丹後町,弥栄町,網野町,峰山町",農地開発,写測,5000,83.0KM2,近畿農政局,アジア航測,"54.5.1,54.9.7",345,,,郡削除,,
京都府,舞鶴市,道路台帳,写測,1000,2.0KM2,舞鶴市,八洲測量,"54.8下,55.3下",,,,,,
京都府,"京都市,南丹市,亀岡市",森林調査,撮影,20000,1100.0KM2,大阪国税局,大阪写真測量所,"54.9.1,54.10.31",,,,郡展開,,
京都府,井手町,道路台帳,"撮影,写測","8000,,1000","6.0KM2,2.2KM2",井手町,国際航業,"54.4.4,54.9.29",,,,郡削除,,
京都府,弥栄町,道路台帳,写測,1000,4.6KM2,弥栄町,アジア航測,"54.8.29,55.3.31",,,,郡削除,,
京都府,丹後町,道路台帳,"撮影,写測","8000,,1000","65.2KM2,5.4KM2",丹後町,富士測量,"54.9.1,55.6.10",560,,,郡削除,,
京都府,京都市,(修正)都市計画,"撮影,撮影,写測,写測","12500,,30000,,2500,,10000","83.2KM2,76.5KM2,70.0KM2,66.0KM2",京都市,パシフイック航業,"54.9.20,55.3.31",602,,,,,
京都府,"福知山市,綾部市,舞鶴市",道路計画,"撮影,写測","7000,,1000","52.0KM2,9.0KM2","日本道路公団大阪建設局,福知山工事事務所",国際航業,"54.9.26,54.12.29",,,,,,
京都府,伊根町,道路台帳,"撮影,写測","8000,,1000","62.2KM2,2.2KM2",伊根町,東日本航空,"54.10.25,55.3.31",784,,,郡削除,,
京都府,宮津市,都市計画,"撮影,写測","12500,,2500","39.0KM2,5.6KM2",宮津市,山陰カノン航測,"54.11.15,55.3.25",847,,,,,
京都府,"京都市,向日市,長岡京市,大山崎町",地盤沈下,水準,,33.2km,京都府,関西測量所,"55.1.25,55.2.23",1021,,,郡展開,,地名修正
京都府,山城町,道路台帳,"撮影,撮影,写測,写測","4800,,8000,,500,,1000","12.1KM2,8.0KM2,2.4KM2,0.2KM2",山城町,日本工事測量,"54.11.17,55.5.31",1024,,,郡削除,,
京都府,夜久野町,道路台帳,写測,1000,13.2KM2,夜久野町,アジア航測,"54.12.15,55.3.31",,,,郡削除,,
京都府,宇治市,都市計画,写測,2500,56.0KM2,宇治市,関西航測,"54.10.7,55.5.25",1026,,,,,
京都府,大江町,道路台帳,撮影,8000,96.5KM2,大江町,パシフイック航業,"54.12.1,55.3.31",1142,,,郡削除,,
京都府,向日市,道路台帳,"撮影,写測","4000,,500","12.5KM2,8.0KM2",向日市,内外エンジニアリング,"55.1.15,55.3.28",,,,,,
京都府,京都市,地盤沈下,水準,,37.0km,京都市,(株)エーシーイーコンサルタント,"55.2.12,55.3.31",1269,,,,,
京都府,城陽市,道路台帳,"撮影,撮影,写測,写測","4000,,8000,,500,,1000","19.2KM2,6.7KM2,3.6KM2,2.4KM2",城陽市,パシフイック航業,"55.1.29,55.6.23",,,,,,
京都府,亀岡市,ほ場整備,"撮影,写測","8000,,1000","6.0KM2,3.5KM2",亀岡市,アジア航測,"55.3.14,55.5.15",,,,地名修正,,
