都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,2018.01.14修正,
北海道,"弟子屈町,",道路用地,"座標変換,基準点","3級,,4級","14point,16point","北海道釧路支庁
助言H16.6.11A0076",(有)金子設計事務所,"H16.6.11
H16.9.29",,
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","4point,9point","北海道函館土木現業所
助言H16.6.14A0077",北武コンサルタント(株),"H16.6.9
H16.12.20",,
北海道,"遠軽町,",農道計画,基準点,3級,8point,"北海道網走支庁
助言H16.6.15A0078",(株)ドボク管理,"H16.6.15
H16.9.21",,
北海道,"美瑛町,",農道計画,"基準点,座標変換","3級,,3級","3point,1point","美瑛町
助言H16.6.15A0079",(株)アサヒ建設コンサルタント,"H16.6.15
H16.11.10",,
北海道,"旭川市,",用地測量,"基準点,座標変換","3級,,１級","4point,2point","旭川開発建設部
助言H16.6.15A0080",都市計画(株),"H16.6.15
H16.8.4",,
北海道,"標茶町,",農道計画,基準点,3級,9point,"北海道釧路支庁
助言H16.6.15A0081",山下コンサルタント(株),"H16.6.14
H16.9.30",,
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","3point,4point","北海道函館土木現業所
助言H16.6.15A0082",(株)サッポロ･エンジニヤーズ,"H16.5.21
H16.12.22",,
北海道,"富良野市,",砂防計画,"基準点,基準点","１級,,3級","1point,3point","北海道旭川土木現業所
助言H16.6.18A0083",旭川設計測量(株),"H16.6.15
H16.8.30",,
北海道,"厚真町,",土地改良,"基準点,座標変換","3級,,2級","28point,4point","北海道胆振支庁
助言H16.6.17A0084",(株)香島コンサルタント,"H16.6.14
H17.3.22",,
北海道,"斜里町,",都市計画,写測修正,2500,18.5KM2,"斜里町
助言H16.6.17A0085",(株)シン技術コンサル,"H16.6.14
H16.11.30",,
北海道,"音更町,",その他,"数値図化,空三,水準,その他","2500,,2500,,簡級,,","1.8KM2,4M,2.0km,4point","音更町
助言H16.6.18A0086",(株)シン技術コンサル,"H16.6.16
H16.8.31",,
北海道,"別海町,",農道計画,基準点,3級,3point,"別海町
助言H16.6.18A0087",(株)イソジェック,"H16.6.11
H16.11.10",,
北海道,"深川市,",土地改良,"基準点,座標変換","3級,,地籍図根点","2point,1point","北海道空知支庁
助言H16.6.18A0088",北日本技研(株),"H16.6.1
H16.7.30",,
北海道,"網走市,",道路用地,"基準点,座標変換","4級,,3級","15point,5point","北海道網走支庁
助言H16.6.18A0089",(有)網走測量設計社,"H16.6.21
H16.9.30",,
北海道,"西興部村,",道路用地,"基準点,基準点","１級,,3級","2point,2point","北海道網走支庁
助言H16.6.22A0090",益村測量設計(株),"H16.6.21
H16.9.30",,
北海道,"端野町,",土地改良,基準点,4級,8point,"北海道網走支庁
助言H16.6.22A0091",(株)大道測量設計,"H16.6.15
H16.8.23",,
北海道,"厚岸町,",道路用地,基準点,3級,6point,"釧路開発建設部
助言H16.6.22A0092",(有)サノ測量設計社,"H16.6.15
H16.7.30",,
北海道,"知内町,",計画,基準点,2級,2point,"北海道渡島支庁
助言H16.6.21A0093",大地コンサルタント(株),"H16.7.8
H16.10.20",,
北海道,"共和町,",道路用地,基準点,3級,3point,"共和町
助言H16.6.22A0094",(株)帝国設計事務所,"H16.6.10
H16.9.10",,
北海道,"中富良野町,",改良,基準点,3級,8point,"北海道上川支庁
助言H16.6.22A0095",旭川設計測量(株),"H16.6.18
H17.3.24",,
北海道,"八雲町,",その他,基準点,2級,3point,"北海道渡島支庁
助言H16.6.24A0096",(株)小林土木工業所,"H16.7.1
H16.11.1",,
北海道,"幕別町,",土地改良,基準点,3級,8point,"帯広開発建設部
助言H16.6.24A0097","北海道農業土木コンサルタント
(株)","H16.6.9
H16.9.28",,
北海道,"風連町,",農村振興GISデータ整備,"カラー撮影,写真図","10000,,2500","143.6KM2,51.5KM2","風連町
助言H16.6.25A0098",(株)シン技術コンサル,"
H16.5.24

H17.1.20",,
北海道,"美深町,",河川管理,"基準点,基準点","3級,,4級","9point,34point","旭川開発建設部
助言H16.6.24A0099",荒木測量設計(株),"H16.6.28
H16.9.27",,
北海道,"音更町,",農道計画,基準点,3級,3point,"北海道十勝支庁
助言H16.6.30A0100",(株)富士雄設計コンサルタント,"H16.6.22
H16.11.22",,
