都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
徳島県,"宍喰町,",道路計画,"カラー撮影,空三,水準,写測図化","10000,,簡級,,2500","151.8KM2,94M,91.2km,15.3KM2",高知県室戸土木事務所助言091120H0121,(株)ウエスコ,"09.11.13,10.03.31",2631*
徳島県,"徳島市,",都市計画,"カラー撮影,写測修正,白地図等","12500,,2500,,2500","95.0KM2,54.7KM2,54.7KM2",徳島県徳島市助言090403H0001,三和航測(株),"09.03.01,09.04.30",296
徳島県,"徳島市,",都市計画,"カラー撮影,写測修正,白地図等","12500,,2500,,2500","76.0KM2,47.6KM2,47.6KM2",徳島県徳島市助言091013H0102,三和航測(株),"09.10.01,10.01.28",2612
徳島県,"徳島市,",都市計画,"カラー撮影,写測修正,白地図等","12500,,2500,,2500","51.0KM2,31.6KM2,31.6KM2",徳島県徳島市助言100216H0157,三和航測(株),"10.01.30,10.03.20",3034
徳島県,"徳島市,小松島市,阿南市,那賀川町,羽ノ浦町,勝浦町,",河川計画及び河川管理,カラー撮影,15000,186.0KM2,建設省四国地方建設局徳島工事事務所助言100316H0174,アジア航測(株),"10.03.01,10.03.27",3296
徳島県,"鳴門市,北島町,",地盤変動調査,写測図化,1000,1.3KM2,徳島県徳島農林事務所助言100219H0159,国際航業(株),"10.02.17,10.03.25",
徳島県,"徳島市,石井町,藍住町,板野町,上板町,吉野町,土成町,市場町,阿波町,鴨島町,川島町,山川町,",河川計画・河川管理,写測修正,2500,46.8KM2,建設省四国地方建設局徳島工事事務所助言091114H0115,国際航業(株),"09.10.18,10.03.16",2625
徳島県,"阿波町,山川町,脇町,美馬町,半田町,貞光町,穴吹町,三野町,三好町,池田町,井川町,三加茂町,",河川計画・河川管理,写測修正,2500,57.8KM2,建設省四国地方建設局徳島工事事務所助言091114H0116,アジア航測(株),"09.10.18,10.03.16",2626
徳島県,"阿南市,",農地防災事業計画,写測修正,5000,26.0KM2,中国四国農政局那賀川農地防災事業建設所助言100313H0172,国際航業(株),"10.03.02,10.03.25",3294
徳島県,"海南町,",森林計画,写測修正,5000,30.0KM2,徳島県助言091225H0131,写測エンジニアリング(株),"10.01.20,10.03.27",3315
徳島県,"鳴門市,阿波町,貞光町,",郵便地図調製,"編集,編集","10000,,25000","464.9KM2,626.7KM2",四国郵政局助言090609H0018,直営,"09.06.17,09.11.19",
徳島県,"阿南市,",ほ場整備,"基準点,基準点","2級,,3級","34point,2point",徳島県助言090516H0008,協立測量設計(株),"09.05.01,09.07.31",
香川県,"丸亀市,飯山町,満濃町,綾歌町,",河川管理,基準点,2級,20point,建設省四国地方建設局香川工事事務所助言090918H0095,(株)五星,"09.09.05,09.10.31",
香川県,"綾歌町,",ほ場整備,"基準点,基準点","2級,,3級","1point,5point",香川県綾歌町助言090623H0033,三島開発コンサルタント(株),"09.10.01,10.03.31",
香川県,"寒川町,",基準点設置,基準点,2級,32point,香川県寒川町助言091020H0103,三島開発コンサルタント(株),"09.10.16,10.03.31",2613
香川県,"白鳥町,",ほ場整備,"基準点,基準点","2級,,3級","2point,20point",香川県大川土地改良事務所助言090818H0071,香川県土地改良事業団体連合会,"09.08.20,10.03.31",
香川県,"三木町,",ほ場整備,"基準点,基準点","2級,,3級","2point,6point",香川県中部土地改良事務所助言090904H0084,香川県土地改良事業団体連合会,"09.09.10,10.03.31",
香川県,"山本町,",ほ場整備,基準点,3級,4point,香川県山本町助言090612H0019,(株)ユニオン測研,"09.06.20,09.11.30",
香川県,"長尾町,",ほ場整備,基準点,3級,1point,香川県長尾町助言090602H0015,三島開発コンサルタント(株),"09.06.13,09.08.31",
香川県,"長尾町,",ほ場整備,基準点,3級,2point,香川県長尾町助言090617H0027,三島開発コンサルタント(株),"09.07.05,10.02.28",
香川県,"香南町,",ほ場整備,基準点,3級,2point,香川県香南町助言100209H0152,三島開発コンサルタント(株),"10.02.16,10.03.16",
香川県,"長尾町,",ほ場整備,基準点,3級,4point,香川県長尾町助言100223H0163,三島開発コンサルタント(株),"09.10.01,10.03.20",
