都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
宮城県,"塩竈市,多賀城市,七ケ浜町,利府町,富谷町,仙台市,松島町,大郷町,",都市計画,"撮影,数値図化","12500,,2500","40.0KM2,17.8KM2",宮城県塩竈市助言070717B0090,(株)パスコ,"07.07.17,08.03.25",888
宮城県,"多賀城市,塩竈市,七ケ浜町,利府町,",都市計画,"撮影,数値図化","12500,,2500","32.8KM2,12.3KM2",宮城県多賀城市助言070725B0105,(株)パスコ,"07.07.25,08.03.22",1027
宮城県,"七ケ浜町,塩竈市,多賀城市,松島町,",都市計画,"撮影,写測図化","12500,,2500","30.0KM2,13.3KM2",宮城県七ケ浜町助言070725B0109,(株)パスコ,"07.07.25,08.03.25",1030
宮城県,"利府町,塩竈市,多賀城市,仙台市,富谷町,大郷町,松島町,",都市計画,"撮影,写測図化,写測修正","12500,,2500,,2500","67.2KM2,13.9KM2,9.4KM2",宮城県利府町助言070811B0128,(株)パスコ,"07.08.11,08.03.25",1277
宮城県,"築館町,志波姫町,迫町,",河川計画,"撮影,写測図化,編集","12500,,2500,,2500","53.6KM2,6.3KM2,5.0KM2",宮城県迫川総合開発建設事務所助言080124B0310,アジア航測(株),"08.01.24,08.03.15",2953
宮城県,"富谷町,",都市計画,"撮影,写測修正","20000,,10000","72.0KM2,49.0KM2",宮城県富谷町助言071226B0287,(株)パスコ,"07.12.26,08.03.25",2803
宮城県,"七ケ宿町,",都市計画,撮影,14000,256.0KM2,山形県高畠町助言070526B0027,(株)パスコ,"07.05.26,07.11.30",0340*
宮城県,"岩沼市,名取市,亘理町,大河原町,村田町,柴田町,",土地家屋の現況把握,カラー撮影,5000,72.0KM2,宮城県岩沼市助言070615B0053,朝日航洋(株),"07.06.15,08.03.31",532
宮城県,"若柳町,金成町,",河川管理,"カラー撮影,写測図化,空三,水準","10000,,2000,,10000,,簡級","33.1KM2,14.3KM2,32M,54.0km",岩手県一関土木事務所助言071127B0237,アジア航測(株),"07.11.27,08.02.16",
宮城県,"色麻町,",水田分布状況調査,カラー撮影,12500,203.0KM2,宮城県色麻町助言071108B0226,東武計画(株),"07.11.08,08.01.12",2265
宮城県,"若柳町,東和町,迫町,中田町,南方町,登米町,津山町,豊里町,桃生町,涌谷町,河北町,北上町,志津川町,小牛田町,高清水町,瀬峰町,築館町,金成町,",モザイク写真作成,カラー撮影,15000,1040.0KM2,宮城県迫土地改良事務所助言080308B0343,(株)パスコ,"08.03.08,08.03.20",3247*
宮城県,"仙台市,多賀城市,名取市,村田町,川崎町,富谷町,大和町,色麻町,小野田町,利府町,",都市計画,"カラー撮影,写測修正,編集,写測図化","20000,,10000,,10000,,2500","417.0KM2,257.7KM2,593.8KM2,8.0KM2",宮城県仙台市助言070623B0062,(株)パスコ,"07.06.23,08.03.29",0617*
宮城県,"桃生町,",上水道計画,"空三,写測図化","4000,,500","60M,0.9KM2",宮城県桃生町助言080321B0356,国際航業(株),"08.03.21,08.03.25",
宮城県,"仙台市,",土地区画整理,"空三,写測図化","5000,,1000","12M,3.1KM2",宮城県仙台市助言070623B0056,(株)パスコ,"07.06.23,07.08.31",
宮城県,"古川市,",ほ場整備,"空三,写測図化,水準","5000,,1000,,3級","17M,6.0KM2,17.0km",宮城県古川市助言071011B0188,(株)パスコ,"07.10.11,08.03.15",
宮城県,"一迫町,",土地改良,"空三,水準,写測図化","8000,,3級,,1000","12M,10.0km,2.2KM2",宮城県築館土地改良事務所助言080229B0335,国際航業(株),"08.02.29,08.03.19",
宮城県,"桃生町,",下水道計画,"空三,写測図化","12500,,2500","13M,15.0KM2",宮城県桃生町助言070628B0071,国際航業(株),"07.06.28,07.09.29",689
宮城県,"鹿島台町,",都市計画,"空三,写測図化","12500,,2500","12M,17.5KM2",宮城県鹿島台町助言070925B0173,国際航業(株),"07.09.25,07.12.14",1696
宮城県,"仙台市,",道路計画,写測図化,500,1.1KM2,仙台工事事務所助言080321B0353,国際航業(株),"08.03.21,08.03.25",
宮城県,"中田町,",ほ場整備,写測図化,1000,2.4KM2,宮城県迫土地改良事務所助言070811B0135,国際航業(株),"07.08.11,08.01.05",
宮城県,"一迫町,",土地改良,写測図化,1000,1.6KM2,宮城県築館土地改良事務所助言071107B0219,国際航業(株),"07.11.07,08.01.26",
宮城県,"東和町,中田町,",道路計画,写測図化,1000,0.7KM2,東北幹線道路調査事務所助言071130B0254,国際航業(株),"07.11.30,08.01.18",
宮城県,"岩出山町,",ほ場整備,写測図化,1000,1.6KM2,宮城県古川土地改良事務所助言070717B0091,アジア航測(株),"07.07.17,08.02.01",
宮城県,"鹿島台町,",ほ場整備,写測図化,1000,0.6KM2,宮城県古川土地改良事務所助言070717B0092,アジア航測(株),"07.07.17,07.12.15",
宮城県,"山元町,",道路計画,"写測図化,写測修正","2500,,2500","18.8KM2,29.1KM2",磐城国道工事事務所助言071212B0264,アジア航測(株),"07.12.12,08.03.28",
宮城県,"村田町,",都市計画,写測修正,2500,40.0KM2,宮城県村田町助言070623B0060,(株)パスコ,"07.06.23,07.12.20",615
宮城県,"気仙沼市,仙台市,白石市,三本木町,",郵便地図調整,編集,25000,6878.0KM2,東北郵政局助言070407B0001,直営,"07.05.11,07.12.01",
宮城県,"富谷町,",土地区画整理,"地上数値法,基準点","500,,4級","2.6KM2,2.6KM2",富谷町成田土地区画整理組合助言071127B0240,(株)パスコ,"07.11.27,09.03.20",
秋田県,"大曲市,",土地区画整理,"基準点,基準点,基準点,水準,水準,平板","2級,,3級,,4級,,3級,,4級,,500","3point,13point,0.5KM2,7.2km,12.7km,0.5KM2",秋田県大曲市助言070811B0130,(株)中庭測量コンサルタント,"07.08.11,07.12.31",
秋田県,"琴丘町,秋田市,岩城町,雄和町,",道路計画,"基準点,水準","2級,,3級","30point,14.6km",日本道路公団仙台建設局秋田工事事務所助言070829B0141,"第一復建(株),高島コンサルタント(株),(株)オオバ,大日コンサルタント(株)","07.08.29,07.11.21",
秋田県,"十文字町,",土地区画整理,"基準点,基準点","2級,,3級","2point,3point",秋田県十文字町助言070831B0147,(有)伊藤測量設計事務所,"07.08.31,07.10.30",
秋田県,"雄和町,",農地開発,"基準点,基準点,基準点,地上数値法","2級,,3級,,4級,,500","3point,6point,0.6KM2,0.6KM2",秋田県土地開発公社助言071110B0233,(株)測地コンサルタント,"07.11.10,08.01.31",
秋田県,"二ツ井町,合川町,",道路計画,"基準点,基準点,基準点","2級,,3級,,4級","3point,4point,0.1KM2",秋田県山本土木事務所助言071102B0215,〔社〕秋田県土地区画整理協会,"07.11.02,08.01.26",
秋田県,"太田町,",ダム計画,"基準点,基準点,基準点,平板","2級,,3級,,4級,,500","3point,3point,0.3KM2,0.3KM2",秋田県助言070623B0061,山田・エンジニアリング(株),"07.06.23,07.11.30",
秋田県,"雄勝町,",道路台帳,"基準点,撮影,写測図化","3級,,8000,,1000","14point,12.2KM2,0.5KM2",秋田県雄勝土木事務所助言070803B0120,国際航業(株),"07.08.03,08.03.20",
秋田県,"小坂町,",下水道台帳,"基準点,水準,カラー撮影,写測図化","3級,,3級,,4000,,500","2point,11.0km,6.1KM2,0.6KM2",秋田県小坂町助言070529B0042,(株)パスコ,"07.05.29,07.07.30",
秋田県,"本荘市,",土地区画整理,"基準点,基準点,地上数値法","3級,,4級,,500","3point,0.1KM2,0.1KM2",秋田県本荘市助言070803B0119,(株)中庭測量コンサルタント,"07.08.03,07.09.30",
秋田県,"河辺町,",道路計画,基準点,3級,6point,日本道路公団秋田工事事務所助言070929B0180,(株)帝国コンサルタント,"07.09.29,08.01.05",
秋田県,"能代市,",道路計画,"基準点,基準点,水準,平板","3級,,4級,,3級,,1000","16point,47point,5.9km,0.4KM2",能代工事事務所助言071212B0270,東邦技術(株),"07.12.12,08.03.15",
秋田県,"湯沢市,",土地開発,"基準点,基準点,地上数値法","3級,,4級,,1000","10point,0.4KM2,0.4KM2",秋田県湯沢市助言070929B0184,(株)鵜沼測量設計事務所,"07.09.29,07.11.30",
秋田県,"秋田市,",土地区画整理,"基準点,基準点,地上数値法","3級,,4級,,500","3point,0.1KM2,0.1KM2",秋田県秋田市助言070607B0043,(株)測地コンサルタント,"07.06.07,07.08.31",
秋田県,"能代市,",道路計画,"基準点,基準点","3級,,4級","8point,21point",能代工事事務所助言071215B0274,(株)創研コンサルタント,"07.12.15,08.03.15",
秋田県,"雄物川町,",土地改良,"水準,水準,写測図化","3級,,4級,,1000","5.0km,2.5km,0.3KM2",秋田県雄物川町助言071110B0231,アジア航測(株),"07.11.10,07.12.20",
秋田県,"秋田市,",土地区画整理,"水準,地上数値法","3級,,100","6.8km,0.1KM2",秋田県秋田市助言071226B0286,(株)測地コンサルタント,"08.01.08,08.03.29",
秋田県,"五城目町,",土地区画整理,"平板,基準点,基準点,基準点,水準","500,,2級,,3級,,4級,,3級","0.1KM2,2point,4point,69point,6.0km",秋田県五城目町助言071102B0213,(株)オオバ,"07.11.02,07.12.20",
秋田県,"西目町,本荘市,",下水道台帳,撮影,4000,5.8KM2,秋田県西目町助言071212B0268,(株)写測,"07.12.12,08.03.11",
秋田県,"五城目町,八郎潟町,",下水道計画,"撮影,水準","5000,,3級","16.5KM2,15.6km",秋田県五城目町助言070420B0008,(株)パスコ,"07.04.20,07.04.30",63
秋田県,"飯田川町,昭和町,井川町,",ほ場整備,"撮影,水準,写測図化","8000,,3級,,1000","8.1KM2,7.0km,1.3KM2",秋田県飯田川町助言070419B0004,国際航業(株),"07.04.19,07.07.31",
秋田県,"比内町,大館市,",都市計画,"撮影,写測修正","8000,,2500","12.0KM2,1.9KM2",秋田県比内町助言070529B0040,国際航業(株),"07.05.29,07.09.19",
秋田県,"太田町,",ダム計画,"撮影,写測修正","8000,,2500","15.9KM2,1.6KM2",秋田県助言070609B0049,国際航業(株),"07.06.09,07.09.29",483
秋田県,"田沢湖町,西木村,",道路計画,"撮影,写測図化","8000,,1000","6.8KM2,0.4KM2",秋田県仙北土木事務所助言070609B0052,国際航業(株),"07.06.09,07.08.31",
秋田県,"五城目町,",道路計画,"撮影,写測図化","8000,,1000","4.0KM2,0.3KM2",秋田県秋田土木事務所助言070829B0145,国際航業(株),"07.08.29,07.10.20",
秋田県,"秋田市,",道路計画,"撮影,写測図化","8000,,1000","9.5KM2,1.4KM2",秋田工事事務所助言071110B0234,国際航業(株),"07.11.10,08.03.15",
秋田県,"能代市,",道路計画,"撮影,写測図化","8000,,1000","9.0KM2,1.2KM2",秋田県山本土木事務所助言071128B0245,国際航業(株),"07.11.28,08.03.19",
秋田県,"大曲市,",ほ場整備,"撮影,写測図化,水準","8000,,8000,,3級","18.5KM2,4.2KM2,15.0km",秋田県大曲市助言071212B0269,(株)写測,"07.12.12,08.01.30",2622
秋田県,"横手市,",ほ場整備,"撮影,写測図化","8000,,1000","16.0KM2,3.5KM2",秋田県横手市助言071102B0205,(株)パスコ,"07.11.02,08.02.20",2187
秋田県,"秋田市,岩城町,",道路計画,"撮影,写測図化","8000,,1000","13.5KM2,1.9KM2",秋田工事事務所助言070522B0023,アジア航測(株),"07.05.22,07.09.29",
