都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期,
北海道,"剣淵町,",河川計画,"基準点,座標変換","3級,,3級","9point,4point","北海道旭川土木現業所
助言H15.6.30A0158",和光技研(株),"H15.4.28
H15.8.29",
北海道,"美唄市,",道路計画,座標変換,3級,8point,"札幌開発建設部
助言H15.6.30A0159",パブリックコンサルタント(株),"H15.5.2
H15.10.18",
北海道,"滝川市,",道路用地,基準点,2級,2point,"北海道札幌土木現業所
助言H15.6.27A0160",千廣測量(株),"H15.6.20
H15.9.30",
北海道,"白糠町,",道路計画,"基準点,路線","3級,,","13point,2.6km","釧路開発建設部
助言H15.6.27A0161",(株)土木技術コンサルタント,"H15.6.23
H15.9.30",
北海道,"美瑛町,",道路用地,"基準点,基準点,水準,路線","3級,,4級,,3級,,","4point,21point,0.7km,1.4km","美瑛町
助言H15.6.27A0162",(株)アサヒ建設コンサルタント,"H15.6.5
H16.1.20",
北海道,"中標津町,",道路用地,座標変換,3級,6point,"北海道釧路土木現業所
助言H15.6.30A0163",岩浅測量設計(有),"H15.5.30
H15.8.20",
北海道,"江差町,",道路計画,"基準点,基準点,路線","2級,,3級,,","5point,5point,1.1km","北海道函館土木現業所
助言H15.6.30A0164",(株)シビテック,"H15.6.16
H15.9.30",
北海道,"名寄市,",道路台帳,基準点,3級,11point,"旭川開発建設部
助言H15.6.30A0165",旭川設計測量(株),"H15.6.5
H15.10.21",
北海道,"興部町,",道路台帳,"基準点,基準点,白地図等,白地図等","１級,,2級,,500,,1000","1point,4point,0.3km,0.3km","網走開発建設部
助言H15.6.30A0166",(株)タナカコンサルタント,"H15.6.25
H15.9.23",
北海道,"端野町,北見市,",土地改良,基準点,4級,11point,"北海道網走支庁
助言H15.6.27A0167",(株)大道測量設計,"H15.6.19
H15.7.30",
北海道,"帯広市,",農道計画,"基準点,座標変換","3級,,2級","2point,3point","北海道十勝支庁
助言H15.6.27A0168",(株)田西設計コンサル,"H15.6.20
H15.7.10",
北海道,"京極町,",地籍調査,座標変換,2級,189point,"京極町
助言H15.6.30A0169",大東測地(株),"H15.6.25
H16.2.20",
北海道,"釧路町,",道路計画,基準点,3級,4point,"釧路町
助言H15.6.30A0170",和光技研(株),"H15.6.16
H15.10.31",
北海道,"美唄市,",河川管理,"基準点,基準点","2級,,3級","1point,1point","北海道札幌土木現業所
助言H15.6.30A0171",(株)佐川測量社,"H15.6.26
H15.9.24",
北海道,"斜里町,",用水路用地測量,"基準点,座標変換","3級,,2級","1point,2point","網走開発建設部
助言H15.6.27A0172",(株)アラソフトウェア,"H15.6.25
H15.7.9",
北海道,"小清水町,",用水路用地測量,基準点,3級,8point,"網走開発建設部
助言H15.6.27A0173",(株)山腰測量設計事務所,"H15.5.29
H15.9.25",
北海道,"東川町,",河川計画,"基準点,水準","2級,,2級","11point,20.8km","北海道旭川土木現業所
助言H15.6.27A0174",(株)ドーコン,"H15.6.27
H16.3.19",
北海道,"剣淵町,",道路計画,"座標変換,基準点","2級,,3級","6point,8point","旭川開発建設部
助言H15.6.27A0175",東光コンサルタント(株),"H15.6.27
H15.10.17",
北海道,"標茶町,",河川管理,基準点,4級,5.5km,"釧路開発建設部
助言H15.6.27A0176",東邦コンサルタント(株),"H15.7.1
H15.9.30",
北海道,"熊石町,",道路計画,"基準点,座標変換,座標変換","3級,,2級,,3級","3point,1point,3point","函館開発建設部
助言H15.6.24A0177",協友測量設計(株),"H15.6.6
H15.8.25",
北海道,"様似町,",港湾計画,座標変換,3級,4point,"北海道室蘭土木現業所
助言H15.6.30A0178",アサヒ測量(株),"H15.6.30
H15.7.10",
北海道,"幌延町,",道路計画,"基準点,基準点","１級,,3級","5point,20point","留萌開発建設部
助言H15.6.30A0179",北海道調査測量(株),"H15.6.30
H15.11.7",
北海道,"豊富町,",道路台帳,基準点,3級,8point,"稚内開発建設部
助言H15.6.30A0180",新栄コンサルタント(株),"H15.6.30
H15.9.18",
北海道,"白糠町,",道路用地,"座標変換,基準点","2級,,3級","3point,18point","釧路開発建設部
助言H15.6.30A0181",(株)アラソフトウェア,"H15.6.30
H15.11.28",
北海道,"新十津川町,",農地開発,基準点,3級,14point,"北海道空知支庁
助言H15.6.30A0182",(株)本山測量設計,"H15.6.30
H15.11.20",
北海道,"豊富町,",道路台帳,"基準点,路線","3級,,1000","4point,1.0km","稚内開発建設部
助言H15.6.30A0183",(株)日興ジオテック,"H15.6.13
H15.9.10",
