都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
北海道,"北見市,",その他,基準点測量,２級,4point,"北海道オホーツク総合振興局
助言　　　H26.5.16  A0020","株式会社北海道農業建
設コンサルタント","H26.5.13
H26.10.31"
北海道,"富良野市,",その他,基準点測量,３級,3point,"北海道上川総合振興局
助言　　　H26.5.15  A0021","アトラス・サーベイ株式会
社","H26.5.14
H26.12.19"
北海道,"湧別町,",その他,基準点測量,１級,1point,"北海道オホーツク総合振興局
助言　　　H26.5.19  A0022","株式会社エクサ設計","H26.5.14
H27.3.30"
北海道,"帯広市,",その他,"基準点測量,路線測量","３級,,","12point,2.4km","北海道十勝総合振興局
助言　　　H26.5.19  A0023","株式会社富士雄設計コン
サルタント","H26.5.13
H27.3.10"
北海道,"訓子府町,",その他,"基準点測量,路線測量","３級,,","2point,0.2km","北海道オホーツク総合振興局
助言　　　H26.5.19  A0024","株式会社大道測量設計","H26.5.15
H26.8.4"
北海道,"浦幌町,",その他,基準点測量,２級,5point,"北海道十勝総合振興局
助言　　　H26.5.19  A0025","東和工研株式会社","H26.5.15
H27.2.27"
北海道,"上士幌町,",その他,基準点測量,３級,2point,"北海道十勝総合振興局
助言　　　H26.5.19  A0026","新栄コンサルタント株式
会社","H26.5.14
H26.12.10"
北海道,"泊村,共和町,神恵内村,",その他,"数値撮影(デジタル),数値図化(同時調整含む),航空レーザ測量,修正測量","10,,2500,,1000,,2500","68.4KM2,12.91KM2,68.4KM2,11.94KM2","北海道泊村
助言　　　H26.5.22  A0027","北海航測株式会社","H26.5.15
H27.2.27"
北海道,"中川町,",その他,"基準点測量,基準点測量","２級,,３級","1point,1point","北海道中川町
助言　　　H26.5.19  A0028","和光技研株式会社","H26.5.1
H26.7.30"
北海道,"釧路町,",その他,基準点測量,２級,3point,"北海道釧路町
助言　　　H26.5.19  A0029","東邦コンサルタント株式
会社","H26.5.20
H26.8.29"
北海道,"当麻町,",その他,基準点測量,３級,2point,"北海道開発局旭川開発建設部
助言　　　H26.5.20  A0030","株式会社フロンティア技
研","H26.5.16
H26.8.29"
北海道,"芦別市,",その他,航空レーザ測量,2500,268.9KM2,"北海道芦別市
助言　　　H26.5.21  A0031","北海航測株式会社","H26.5.15
H27.2.27"
北海道,"当別町,",その他,基準点測量,３級,6point,"北海道石狩振興局
助言　　　H26.5.20  A0032","株式会社帝国設計事務
所","H26.5.23
H27.2.10"
北海道,"上川町,",その他,"基準点測量,基準点測量","２級,,３級","1point,3point","北海道上川町
助言　　　H26.5.20  A0033","有限会社美成測地サー
ビス","H26.5.19
H26.7.31"
北海道,"南幌町,",その他,基準点測量,３級,10point,"北海道空知総合振興局
助言　　　H26.5.21  A0034","拓新エンジニア株式会社","H26.5.16
H27.1.30"
北海道,"新ひだか町,",その他,MMS計測,500,17km,"北海道新ひだか町
助言　　　H26.5.23  A0035","株式会社ＧＩＳ北海道","H26.5.20
H26.8.20"
北海道,"南幌町,",その他,基準点測量,３級,118point,"北海道空知総合振興局
助言　　　H26.5.29  A0036","株式会社極東コンサルタ
ント","H26.5.19
H26.11.10"
北海道,"深川市,",その他,"基準点測量,基準点測量","３級,,標高補正","25point,6point","北海道空知総合振興局
助言　　　H26.5.29  A0037","パブリックコンサルタント
株式会社","H26.5.20
H27.1.9"
北海道,"紋別市,",その他,基準点測量,２級,2point,"北海道オホーツク総合振興局
助言　　　H26.5.21  A0038","株式会社タナカコンサル
タント","H26.5.28
H26.9.30"
北海道,"七飯町,北斗市,",その他,基準点測量,３級,9point,"北海道渡島総合振興局
助言　　　H26.5.27  A0039","株式会社田西設計コンサ
ル","H26.5.20
H26.11.10"
北海道,"喜茂別町,",その他,基準点測量,３級,2point,"北海道喜茂別町
助言　　　H26.5.26  A0040","株式会社タカギエンジニ
ア","H26.5.13
H26.6.30"
北海道,"安平町,",その他,数値図化,1000,0.144KM2,"北海道胆振総合振興局
助言　　　H26.5.28  A0041","株式会社シン技術コンサ
ル","H26.5.20
H26.9.30"
北海道,"厚沢部町,",その他,基準点測量,３級,2point,"北海道檜山振興局
助言　　　H26.5.27  A0042","株式会社アース設計事務
所","H26.5.20
H26.7.31"
北海道,"上川町,",その他,"基準点測量,基準点測量","２級,,３級","2point,10point","北海道上川町
助言　　　H26.5.27  A0043","有限会社美成測地サー
ビス","H26.5.21
H26.10.3"
北海道,"当麻町,",その他,基準点測量,２級,4point,"北海道上川総合振興局
助言　　　H26.5.27  A0044","東光コンサルタント株式
会社","H26.5.22
H26.9.30"
北海道,"岩見沢市,",その他,基準点測量,３級,5point,"北海道空知総合振興局
助言　　　H26.6.2  A0045","株式会社協和コンサルタ
ント","H26.5.21
H26.12.19"
北海道,"士幌町,",その他,基準点測量,３級,10point,"北海道十勝総合振興局
助言　　　H26.5.26  A0046","株式会社田中測量設計","H26.5.30
H27.1.20"
北海道,"士幌町,",その他,基準点測量,３級,4point,"北海道十勝総合振興局
助言　　　H26.5.26  A0047","北海航測株式会社","H26.5.21
H26.11.28"
北海道,"三笠市,",その他,基準点測量,１級,4point,"北海道開発局札幌開発建設部
助言　　　H26.6.2  A0048","ＨＲＳ株式会社","H26.5.23
H26.10.14"
北海道,"千歳市,",その他,MMS計測,500,217km,"北海道千歳市
助言　　　H26.5.28  A0049","株式会社ＧＩＳ北海道","H26.5.23
H26.9.30"
北海道,"留萌市,",その他,"基準点測量,基準点測量,基準点測量","２級,,３級,,４級","2point,1point,5point","北海道留萌振興局
助言　　　H26.5.27  A0050","留萌測量設計株式会社","H26.6.1
H26.8.1"
北海道,"上富良野町,",その他,基準点測量,３級,2point,"北海道上川総合振興局
助言　　　H26.5.29  A0051","株式会社ドボク管理","H26.5.26
H26.11.28"
北海道,"稚内市,",その他,MMS計測,500,198km,"北海道稚内市
助言　　　H26.5.28  A0052","株式会社ＧＩＳ北海道","H26.5.22
H26.10.31"
北海道,"士幌町,",その他,基準点測量,３級,2point,"北海道十勝総合振興局
助言　　　H26.5.27  A0053","有限会社新東測量設計
社","H26.5.30
H26.10.30"
北海道,"遠軽町,",その他,基準点測量,２級,2point,"北海道遠軽町
助言　　　H26.5.29  A0054","ダイシン設計株式会社","H26.5.26
H26.7.31"
北海道,"積丹町,",その他,"基準点測量,基準点測量","２級,,３級","3point,1point","北海道積丹町
助言　　　H26.5.27  A0055","ダイシン設計株式会社","H26.5.27
H26.7.31"
北海道,"岩見沢市,",その他,基準点測量,３級,12point,"北海道空知総合振興局
助言　　　H26.6.4  A0056","株式会社北海道農業建
設コンサルタント","H26.5.27
H26.12.1"
北海道,"中富良野町,",その他,"復旧測量(基準点),復旧測量(基準点)","２級,,３級","1point,1point","北海道開発局旭川開発建設部
助言　　　H26.5.29  A0057","株式会社三幸測量設計
社","H26.5.23
H27.1.20"
北海道,"深川市,",その他,基準点測量,３級,3point,"北海道空知総合振興局
助言　　　H26.6.4  A0058","北王コンサルタント株式
会社","H26.5.27
H26.12.10"
北海道,"由仁町,",その他,基準点測量,３級,30point,"北海道空知総合振興局
助言　　　H26.6.20  A0059","新栄コンサルタント株式
会社","H26.6.12
H26.10.31"
北海道,"上富良野町,",その他,基準点測量,３級,43point,"北海道上川総合振興局
助言　　　H26.5.29  A0060","新栄コンサルタント株式
会社","H26.5.27
H26.12.19"
北海道,"喜茂別町,",その他,MMS計測,500,29.8km,"北海道喜茂別町
助言　　　H26.5.30  A0061","株式会社ＧＩＳ北海道","H26.5.28
H26.11.20"
北海道,"倶知安町,",その他,"数値撮影(デジタル),写真地図作成(デジタルオルソ),同時調整","25,,2500,,2500","200KM2,200KM2,200KM2","北海道倶知安町
助言　　　H26.5.30  A0062","株式会社シン技術コンサ
ル","H26.5.28
H27.3.30"
北海道,"厚沢部町,",その他,写真地図作成(デジタルオルソ),1000,1.63KM2,"北海道渡島総合振興局
助言　　　H26.5.30  A0063","株式会社シン技術コンサ
ル","H26.5.16
H27.3.10"
北海道,"北斗市,七飯町,",その他,基準点測量,３級,11point,"北海道渡島総合振興局
助言　　　H26.6.2  A0064","内外エンジニアリング北
海道株式会社","H26.5.22
H27.3.10"
北海道,"小樽市,",その他,"基準点測量,基準点測量,水準測量","２級,,３級,,３級","1point,3point,3point","北海道後志総合振興局
助言　　　H26.6.4  A0065","ＨＲＳ株式会社","H26.5.1
H26.7.30"
北海道,"網走市,小清水町,大空町,",道路計画,数値図化,1000,3.2KM2,"北海道開発局網走開発建設部
助言　　　H26.5.30  A0066   ","株式会社パスコ","H26.6.2
H26.8.25"
北海道,"南幌町,",その他,基準点測量,３級,10point,"北海道空知総合振興局
助言　　　H26.6.9  A0067","北海航測株式会社","H26.5.28
H27.1.30"
北海道,"秩父別町,妹背牛町,深川市,",その他,基準点測量,３級,28point,"北海道空知総合振興局
助言　　　H26.6.9  A0068","株式会社創生コンサルタ
ント","H26.5.29
H27.3.20"
北海道,"蘭越町,",その他,基準点測量,３級,1point,"北海道開発局小樽開発建設部
助言　　　H26.6.5  A0069","北山測量設計株式会社","H26.5.28
H26.8.29"
北海道,"共和町,",その他,基準点測量,３級,5point,"北海道後志総合振興局
助言　　　H26.6.2  A0070","株式会社北海道農業建
設コンサルタント","H26.5.30
H26.12.15"
北海道,"美深町,",その他,基準点測量,２級,7point,"北海道開発局旭川開発建設部
助言　　　H26.6.3  A0071","株式会社ランドプランニン
グ","H26.5.30
H26.10.31"
北海道,"羽幌町,",その他,"基準点測量,基準点測量","２級,,３級","2point,1point","北海道留萌振興局
助言　　　H26.6.3  A0072","株式会社北建コンサルタ
ント","H26.5.28
H26.12.1"
北海道,"中川町,",その他,基準点測量,３級,7point,"北海道中川町
助言　　　H26.6.3  A0073","かたやま測量株式会社","H26.5.30
H26.11.10"
北海道,"妹背牛町,",その他,"基準点測量,基準点測量","３級,,標高補正","21point,3point","北海道空知総合振興局
助言　　　H26.6.9  A0074","株式会社グリーン測量","H26.5.30
H27.3.10"
北海道,"倶知安町,",その他,"基準点測量,基準点測量,水準測量","２級,,３級,,３級","3point,2point,3point","鉄道建設・運輸施設整備支援機
構
助言　　　H26.6.5  A0075","国際航業株式会社","H26.5.19
H27.2.23"
北海道,"赤井川村,真狩村,ニセコ町,蘭越町,長万部町,八雲町,北斗市,小樽市,",その他,航空レーザ測量,1000,107KM2,"鉄道建設・運輸施設整備支援機
構
助言　　　H26.6.11  A0076","中日本航空株式会社","H26.4.22
H26.11.21"
北海道,"上富良野町,",その他,基準点測量,２級,4point,"北海道上川総合振興局
助言　　　H26.6.3  A0077","株式会社シン技術コンサ
ル","H26.5.31
H27.2.20"
北海道,"猿払村,",その他,MMS計測,500,56km,"北海道猿払村
助言　　　H26.6.3  A0078","株式会社ＧＩＳ北海道","H26.5.29
H27.1.30"
北海道,"栗山町,",その他,基準点測量,３級,5point,"北海道空知総合振興局
助言　　　H26.6.13  A0079","株式会社本山測量設計","H26.5.30
H26.7.31"
北海道,"美唄市,",その他,基準点測量,３級,57point,"北海道空知総合振興局
助言　　　H26.6.13  A0080","明和測量工業株式会社","H26.5.30
H26.7.30"
北海道,"浦河町,",その他,"数値図化,航空レーザ測量,同時調整,数値撮影(デジタル)","1000,,9,,1000,,9","0.67KM2,12.8KM2,,110M,12.8KM2","北海道胆振総合振興局
助言　　　H26.6.9  A0081","北海航測株式会社","H26.5.30
H26.8.20"
北海道,"小樽市,",その他,基準点測量,２級,2point,"北海道後志総合振興局
助言　　　H26.6.9  A0082","有限会社柴崎測量","H26.6.16
H26.9.30"
北海道,"由仁町,",その他,基準点測量,３級,28point,"北海道空知総合振興局
助言　　　H26.6.12  A0083","北海道調査補償株式会
社","H26.5.30
H27.2.10"
北海道,"札幌市,",その他,"基準点測量,基準点測量","３級,,４級","4point,71point","北海道札幌市
助言　　　H26.6.17  A0084","株式会社タケカワ総合コ
ンサルタント","H26.5.16
H27.3.15"
北海道,"音更町,",その他,"基準点測量,水準測量","２級,,２級","2point,6.8km","北海道開発局帯広開発建設部
帯広河川事務所
助言　　　H26.6.9  A0085","東和工研株式会社","H26.6.3
H26.8.22"
北海道,"旭川市,",その他,復旧測量(基準点),３級,1point,"北海道旭川市
助言　　　H26.6.9  A0086","株式会社三陽測量設計","H26.6.4
H26.7.10"
北海道,"中富良野町,",その他,基準点測量,４級,116point,"北海道上川総合振興局
助言　　　H26.6.9  A0087","やまざきコンサルタント株
式会社","H26.6.4
H27.1.30"
北海道,"函館市,",その他,基準点測量,３級,4point,"北海道渡島総合振興局
助言　　　H26.6.9  A0088","臥牛測量設計株式会社","H26.6.4
H26.10.30"
北海道,"北斗市,",その他,復旧測量(基準点),２級,1point,"北海道渡島総合振興局
助言　　　H26.6.9  A0089","協友測量設計株式会社","H26.6.4
H26.8.29"
北海道,"遠別町,",その他,基準点測量,２級,11point,"北海道留萌振興局
助言　　　H26.6.9  A0090","株式会社北海道農業建
設コンサルタント","H26.6.3
H26.9.30"
北海道,"安平町,",その他,基準点測量,３級,3point,"北海道胆振総合振興局
助言　　　H26.6.5  A0091","株式会社シン技術コンサ
ル","H26.6.5
H26.9.30"
北海道,"富良野市,",その他,基準点測量,３級,11point,"北海道上川総合振興局
助言　　　H26.6.9  A0092","株式会社シバンス","H26.6.4
H27.2.10"
北海道,"幌加内町,",その他,"基準点測量,基準点測量","２級,,３級","3point,1point","北海道上川総合振興局
助言　　　H26.6.9  A0093","株式会社アサヒ建設コン
サルタント","H26.6.10
H26.7.10"
北海道,"帯広市,",その他,"基準点測量,基準点測量","１級,,３級","2point,7point","北海道十勝総合振興局
助言　　　H26.6.10  A0094","平田技術コンサルタント
株式会社","H26.6.5
H26.7.31"
北海道,"中標津町,",その他,"基準点測量,基準点測量","１級,,３級","2point,6point","北海道中標津町
助言　　　H26.6.10  A0095","有限会社サノ測量設計社","H26.6.5
H26.8.29"
北海道,"標茶町,",その他,基準点測量,３級,14point,"北海道釧路総合振興局
助言　　　H26.6.10  A0096","東邦コンサルタント株式
会社","H26.5.29
H27.3.20"
北海道,"和寒町,",その他,基準点測量,３級,2point,"北海道上川総合振興局
助言　　　H26.6.16  A0097","株式会社協和コンサルタ
ント","H26.6.6
H26.9.30"
北海道,"和寒町,",その他,"基準点測量,基準点測量","２級,,３級","1point,11point","北海道上川総合振興局
助言　　　H26.6.16  A0098   ","株式会社ランドプランニン
グ","H26.6.6
H27.1.30"
北海道,"帯広市,",その他,"基準点測量,基準点測量","２級,,３級","2point,5point","北海道十勝総合振興局
助言　　　H26.6.17  A0099","平田技術コンサルタント
株式会社","H26.6.13
H26.7.30"
北海道,"別海町,",その他,基準点測量,４級,7point,"北海道根室振興局
助言　　　H26.6.12  A0100","有限会社高橋測量事務
所","H26.5.29
H26.7.28"
北海道,"置戸町,",その他,"基準点測量,基準点測量,路線測量","１級,,３級,,","2point,3point,0.916km","北海道オホーツク総合振興局
助言　　　H26.6.12  A0101","株式会社みずほ栄設計","H26.6.7
H27.3.10"
北海道,"北見市,",その他,"基準点測量,基準点測量,路線測量","１級,,３級,,","2point,4point,0.72km","北海道オホーツク総合振興局
助言　　　H26.6.25  A0102","株式会社カワムラ","H26.6.7
H26.12.10"
北海道,"南富良野町,",その他,基準点測量,２級,8point,"北海道南富良野町
助言　　　H26.6.11  A0103","旭川設計測量株式会社","H26.6.20
H27.2.27"
北海道,"小樽市,",その他,基準点測量,２級,3point,"北海道後志総合振興局
助言　　　H26.6.11  A0104","有限会社大野測量","H26.6.7
H26.8.29"
北海道,"別海町,",その他,基準点測量,２級,4point,"北海道根室振興局
助言　　　H26.6.12  A0105","小林技術コンサルタント
株式会社","H26.5.29
H27.1.30"
北海道,"遠軽町,",その他,基準点測量,２級,2point,"北海道オホーツク総合振興局
助言　　　H26.6.12  A0106","株式会社北海道技術コン
サルタント","H26.6.2
H26.12.22"
北海道,"鷹栖町,旭川市,",その他,基準点測量,２級,2point,"北海道上川総合振興局
助言　　　H26.6.12  A0107","株式会社日興ジオテック","H26.6.10
H26.9.30"
北海道,"増毛町,",その他,基準点測量,３級,14point,"北海道留萌振興局
助言　　　H26.6.12  A0108","株式会社ルーラルエンジ
ニア","H26.6.10
H27.3.10"
北海道,"富良野市,",その他,基準点測量,２級,2point,"北海道上川総合振興局
助言　　　H26.6.12  A0109","株式会社安川測量","H26.6.10
H26.10.30"
北海道,"厚真町,",その他,"基準点測量,路線測量","２級,,その他","3point,0.98km","北海道胆振総合振興局
助言　　　H26.6.12  A0110","株式会社シビテック","H26.6.10
H26.12.19"
北海道,"枝幸町,",その他,"基準点測量,基準点測量","２級,,３級","2point,2point","北海道枝幸町
助言　　　H26.6.20  A0111","北陽測量設計株式会社","H26.6.11
H26.9.1"
北海道,"岩見沢市,",その他,基準点測量,３級,9point,"北海道空知総合振興局
助言　　　H26.6.20  A0112","株式会社北開測地","H26.6.11
H27.2.20"
北海道,"増毛町,",その他,"数値撮影(デジタル),航空レーザ測量,数値図化","1000,,その他,,1000","48.9KM2,48.9KM2,3.89KM2","北海道留萌振興局
助言　　　H26.6.17  A0113","北海航測株式会社","H26.6.11
H26.12.19"
北海道,"八雲町,",その他,航空レーザ測量,1000,7KM2,"北海道渡島総合振興局
助言　　　H26.6.13  A0114","株式会社シン技術コンサ
ル","H26.6.9
H27.3.10"
北海道,"当麻町,上川町,",その他,"基準点測量,基準点測量,水準測量","２級,,３級,,３級","4point,3point,2point","北海道開発局旭川開発建設部
助言　　　H26.6.16  A0115","東光コンサルタント株式
会社","H26.5.16
H26.11.11"
北海道,"奈井江町,",その他,基準点測量,３級,12point,"北海道空知総合振興局
助言　　　H26.6.20  A0116","株式会社東亜エンジニア
リング","H26.6.11
H26.11.30"
北海道,"遠別町,",その他,基準点測量,３級,22point,"北海道留萌振興局
助言　　　H26.6.17  A0117","旭川設計測量株式会社","H26.6.16
H27.2.10"
北海道,"中川町,",その他,基準点測量,２級,2point,"北海道上川総合振興局
助言　　　H26.6.17  A0118","東光コンサルタント株式
会社","H26.6.12
H26.12.1"
北海道,"中川町,",その他,基準点測量,２級,2point,"北海道上川総合振興局
助言　　　H26.6.17  A0119","株式会社アクセスフィー
ルド","H26.6.12
H26.12.1"
北海道,"旭川市,",その他,基準点測量,３級,32point,"北海道上川総合振興局
助言　　　H26.6.19  A0120","やまざきコンサルタント株
式会社","H26.6.12
H27.2.27"
北海道,"旭川市,",その他,"基準点測量,基準点測量","１級,,３級","4point,20point","北海道上川総合振興局
助言　　　H26.6.19  A0121","株式会社協和コンサルタ
ント","H26.6.12
H27.2.27"
北海道,"旭川市,",その他,基準点測量,３級,27point,"北海道上川総合振興局
助言　　　H26.6.19  A0122","株式会社ルーラルエンジ
ニア","H26.6.12
H27.2.27"
北海道,"幌加内町,",その他,"基準点測量,基準点測量","１級,,３級","2point,7point","北海道上川総合振興局
助言　　　H26.6.19  A0123","旭川設計測量株式会社","H26.6.12
H27.2.20"
北海道,"室蘭市,",その他,"数値撮影(デジタル),数値図化","1000,,1000","8.6KM2,1KM2","北海道胆振総合振興局
助言　　　H26.6.17  A0124","株式会社タナカコンサル
タント","H26.6.6
H26.12.10"
北海道,"幌延町,豊富町,中頓別町,浜頓別町,猿払村,天塩町,中川町,",その他,"数値撮影(デジタル),同時調整","30,,5000","574KM2,574KM2","北海道幌延町
助言　　　H26.6.19  A0125","株式会社八州","H26.6.4
H27.2.20"
北海道,"東神楽町,",その他,"数値撮影(デジタル),数値図化,その他","12,,1000,,対空標識設置","24KM2,2.2KM2,5point","北海道上川総合振興局
助言　　　H26.6.19  A0126","株式会社シン技術コンサ
ル","H26.6.12
H26.10.30"
北海道,"滝川市,",その他,"基準点測量,基準点測量","１級,,３級","3point,18point","北海道開発局札幌開発建設部
滝川道路事務所
助言　　　H26.6.24  A0127","建基コンサルタント株式
会社
株式会社東亜エンジニア
リング","H26.5.16
H26.10.22"
北海道,"由仁町,",その他,基準点測量,３級,20point,"北海道空知総合振興局
助言　　　H26.6.24  A0128","株式会社創生コンサルタ
ント","H26.6.16
H27.2.20"
北海道,"深川市,",その他,基準点測量,３級,22point,"北海道空知総合振興局
助言　　　H26.6.24  A0129","株式会社みずほ栄設計   ","H26.6.16
H27.3.10"
北海道,"南幌町,",その他,基準点測量,２級,2point,"北海道空知総合振興局
助言　　　H26.8.8  A0130","ダイシン設計株式会社","H26.6.10
H26.9.30"
北海道,"富良野市,",その他,基準点測量,３級,2point,"北海道上川総合振興局
助言　　　H26.6.20  A0131","株式会社北海道技術コン
サルタント","H26.6.16
H27.3.20"
北海道,"北見市,",その他,基準点測量,３級,1point,"北海道北見市
助言　　　H26.6.18  A0132","株式会社山腰測量設計
事務所","H26.6.11
H26.9.12"
北海道,"栗山町,由仁町,",その他,基準点測量,３級,5point,"北海道開発局札幌開発建設部
助言　　　H26.6.26  A0133","株式会社中田測量","H26.6.23
H26.8.29"
北海道,"岩見沢市,",その他,基準点測量,３級,14point,"北海道空知総合振興局
助言　　　H26.6.26  A0134","株式会社田西設計コンサ
ル","H26.5.23
H26.9.30"
北海道,"妹背牛町,",その他,基準点測量,３級,9point,"北海道空知総合振興局
助言　　　H26.6.26  A0135","株式会社本山測量設計","H26.6.17
H27.2.10"
北海道,"岩内町,",その他,基準点測量,２級,1point,"北海道岩内町
助言　　　H26.6.18  A0136","株式会社牧野測量","H26.6.17
H26.7.30"
北海道,"厚岸町,",その他,基準点測量,３級,2point,"北海道厚岸町
助言　　　H26.6.18  A0137","ダイシン設計株式会社","H26.6.18
H26.8.31"
北海道,"沼田町,",その他,基準点測量,３級,1point,"北海道空知総合振興局
助言　　　H26.6.26  A0138","株式会社開発調査研究
所","H26.6.13
H26.10.30"
北海道,"滝上町,",その他,基準点測量,３級,3point,"北海道オホーツク総合振興局
助言　　　H26.6.19  A0139","株式会社開発調査研究
所","H26.6.18
H26.10.20"
北海道,"旭川市,",その他,"復旧測量(基準点),復旧測量(基準点),基準点測量","街区三角点,,街区多角点,,１級","2point,16point,,1point","北海道旭川市
助言　　　H26.6.20  A0140","株式会社ダイイチプラニ
ング","H26.6.17
H26.9.26"
北海道,"当別町,",その他,"基準点測量,数値撮影(デジタル),航空レーザ測量,数値図化","３級,,9,,1ｍメッシュ,,1000","17point,20.49KM2,20.49KM2,3.35KM2","北海道石狩振興局
助言　　　H26.6.27  A0141","北海航測株式会社","H26.5.19
H26.9.19"
北海道,"深川市,",その他,基準点測量,３級,24point,"北海道空知総合振興局
助言　　　H26.7.1  A0142","株式会社ルーラルエンジ
ニア","H26.6.20
H26.9.20"
北海道,"深川市,",その他,基準点測量,３級,15point,"北海道空知総合振興局
助言　　　H26.7.1  A0143","技研測量設計株式会社","H26.6.17
H27.3.10"
北海道,"せたな町,",その他,基準点測量,３級,3point,"北海道渡島総合振興局
助言　　　H26.6.20  A0144","臥牛測量設計株式会社","H26.6.19
H26.10.30"
北海道,"寿都町,",その他,MMS計測,500,35km,"北海道寿都町
助言　　　H26.6.20  A0145","株式会社ＧＩＳ北海道","H26.6.17
H26.10.31"
北海道,"岩見沢市,",その他,基準点測量,３級,2point,"北海道空知総合振興局
助言　　　H26.7.1  A0146","株式会社ルーラルエンジ
ニア","H26.6.19
H27.2.10"
北海道,"上富良野町,",その他,"基準点測量,基準点測量","２級,,３級","4point,20point","北海道上川総合振興局
助言　　　H26.6.24  A0147","株式会社田西設計コンサ
ル","H26.6.19
H26.10.30"
北海道,"深川市,",その他,基準点測量,３級,1point,"北海道深川市
助言　　　H26.7.1  A0148","株式会社ルーラルエンジ
ニア","H26.6.20
H27.1.30"
北海道,"木古内町,",その他,基準点測量,２級,1point,"北海道開発局函館開発建設部
助言　　　H26.6.23  A0149","株式会社ツカサ技研","H26.6.19
H26.10.31"
北海道,"増毛町,",その他,MMS計測,500,39.6km,"北海道増毛町
助言　　　H26.6.24  A0150","株式会社ＧＩＳ北海道","H26.6.20
H26.10.30"
北海道,"岩見沢市,",その他,基準点測量,３級,3point,"北海道開発局札幌開発建設部
助言　　　H26.7.2  A0151","スミセキ・ジオテクノ株式
会社","H26.6.26
H26.9.5"
北海道,"厚岸町,",その他,基準点測量,３級,1point,"北海道厚岸町
助言　　　H26.6.24  A0152","和光技研株式会社","H26.5.27
H26.12.10"
北海道,"大樹町,",その他,"基準点測量,基準点測量","２級,,３級","4point,6point","北海道十勝総合振興局
助言　　　H26.6.24  A0153","株式会社安井測量設計
事務所","H26.6.21
H26.10.30"
