都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
北海道,"比布町,",土地改良,"基準点,基準点","１級,,3級","13point,34point","北海道上川支庁
助言　　　　H18.6.5 A 0087",(株)富士建設コンサル,"H18.6.2
H18.7.14"
北海道,"雄武町,",土地改良,"基準点,座標変換","3級,,2級","11point,2point","網走開発建設部
助言　　　　H18.6.6 A 0088",(株)田西設計コンサル,"H18.5.29
H18.6.29"
北海道,"網走市,",道路用地,基準点,3級,6point,"網走開発建設部
助言　　　　H18.6.6 A 0089",高野測量(有),"H18.6.12
H18.9.15"
北海道,"上ノ国町,",道路用地,基準点,2級,5point,"函館開発建設部
助言　　　　H18.6.6 A 0090",スミセキ･ジオテクノ(株),"H18.6.1
H18.8.31"
北海道,"中標津町,",道路計画,"基準点,路線",3級,"10point,9.1km","中標津町
助言　　　　H18.6.6 A 0091",(株)津村測量設計,"H18.5.10
H18.8.20"
北海道,"旭川市,",道路用地,基準点,3級,2point,"北海道旭川土木現業所
助言　　　　H18.6.7 A 0092",(株)ネクシス光洋,"H18.6.1
H18.8.28"
北海道,"鷹栖町,",土地改良,基準点,3級,3point,"北海道上川支庁
助言　　　　H18.6.7 A 0093",(株)国策測量設計,"H18.6.2
H19.2.20"
北海道,"厚沢部町,",河川計画,"基準点,基準点","2級,,3級","3point,4point","北海道渡島支庁
助言　　　　H18.6.7 A 0094",北武コンサルタント(株),"H18.6.12
H18.12.20"
北海道,"ニセコ町,",河川計画,基準点,3級,27point,"北海道後志支庁
助言　　　　H18.6.7 A 0095",北海道キング設計(株),"H18.6.6
H18.6.6"
北海道,"士幌町,",道路計画,"カラー撮影,数値図化","12500,,2500","30.2KM2,14.4KM2","帯広開発建設部
助言　　　　H18.6.7 A 0096",国際航業(株),"H18.5.30
H18.10.2"
北海道,"厚岸町,",道路計画,基準点,3級,8point,"厚岸町
助言　　　　H18.6.7 A 0097",ダイシン設計(株),"H18.6.12
H18.11.30"
北海道,"音更町,",土地区画整理,"座標変換,座標変換,座標変換","1級,,2級,,3級","1point,7point,15point","音更町すずらん台土地区画整理組合
助言　　　　H18.6.9 A 0098",(株)ズコーシャ,"H18.6.9
H18.6.30"
北海道,"豊浦町,",道路用地,基準点,3級,2point,"北海道胆振支庁
助言　　　　H18.6.9 A 0099",(株)とようら測量設計,"H18.6.6
H18.8.31"
北海道,"江差町,",土地改良,基準点,3級,8point,"北海道檜山支庁
助言　　　　H18.6.9 A 0100",(株)北海道農業建設コンサルタン,"　H18.6.3
H18.11.20"
北海道,"松前町,",用地測量,基準点,3級,2point,"函館開発建設部
助言　　　　H18.6.9 A 0101",(株)玉川測量設計事務所,"H18.6.6
H18.7.27"
北海道,"浜頓別町,",道路用地,基準点,3級,9point,"稚内開発建設部
助言　　　　H18.6.9 A 0102",北陽測量設計(株),"H18.6.12
H18.7.7"
北海道,"深川市,",土地改良,基準点,3級,12point,"北海道空知支庁
助言　　　H18.6.12 A 0103",(株)カバト技研,"H18.6.14
H18.6.22"
北海道,"深川市,",土地改良,基準点,3級,30point,"北海道空知支庁
助言　　　H18.6.12 A 0104",北海道土地改良事業団体連合会,"H18.6.5
H18.8.30"
