都道府県名,測量地域,測量目的,測量種別,"縮尺･,,等級",事業量,計画機関,作業機関,自至時期
愛知県,"大府市,",土地区画整理,"基準点,基準点,地上数値法","3級,,4級,,500","3point,47point,0.1KM2","大府一ツ屋土地区画整理組合
助言H19.10.31E0198",(株)オオバ,"H19.10.29
H20.3.31"
愛知県,"幸田町,",土地区画整理,"基準点,基準点,水準,水準","3級,,4級,,3級,,4級","2point,20point,7.0km,2.0km","幸田岩堀(蔵前､銘鍛治)土地
区画整理事業準備委員会
助言H19.10.31E0199",早川都市計画(株),"
H19.11.15

H20.3.28"
愛知県,"春日井市,",道路計画,"基準点,基準点","１級,,3級","2point,3point","中部地方整備局愛知国道事務所
助言H19.11.9E0208",(株)パスコ,"H19.9.13
H20.2.29"
愛知県,"犬山市,",都市計画,"カラー撮影,数値図修正,座標変換","地上:12cm,,2500,,2500","75.0KM2,36.7KM2,36.7KM2","愛知県犬山市
助言H19.11.12E0209",国際航業(株),"
H19.9.28

H20.3.25"
愛知県,"飛島村,",道路計画,"基準点,水準","4級,,4級","87point,4.4km","中部地方整備局愛知国道事務所
助言H19.12.19E0215",中日本航空(株),"H19.6.13
H19.12.20"
愛知県,"刈谷市,",固定資産,カラー撮影,地上:8cm,50.5KM2,"愛知県刈谷市
助言H19.11.14E0217",朝日航洋(株),"
H19.11.12

H20.3.15"
愛知県,"南知多町,美浜町,武豊町,常滑市,半田市,碧南市,一色町,西尾市,吉良町,幡豆町,蒲郡市,幸田町,音羽町,豊川市,新城市,豊橋市,田原市,",総合計画,カラー撮影,地上:24cm,2280.0KM2,"中部地方整備局東海幹線道
路調査事務所
助言H19.11.15E0218",国際航業(株),"
H19.9.4

H20.2.29"
愛知県,"知多市,",道路台帳,平板･修正,1000,"0.1KM2,9.0km","愛知県知多市
助言H19.11.19E0222",アジア航測(株),"H19.10.25
H20.3.25"
愛知県,"豊明市,",固定資産,"カラー撮影,,ディジタルオルソ","地上:10cm,,地上:10cm","23.2KM2,,23.2KM2","愛知県豊明市

助言H19.11.19E0223",(株)ナカノアイシステム,"H19.10.26

H20.3.28"
愛知県,"稲沢市,",道路計画,基準点,3級,3point,"―宮建設事務所
助言H19.11.21E0224",玉野総合コンサルタント(株),"H19.11.1
H20.3.20"
愛知県,"田原市,",都市計画,基準点,2級,1point,"田原市
助言H19.11.21E0225",中央コンサルタンツ(株),"H19.11.19
H19.12.14"
愛知県,"名古屋市,",都市計画,"基準点,水準","１級,,１級","１point,1.8km","名古屋市
助言H19.11.27E0227",中部復建(株),"H19.11.28
H19.12.28"
愛知県,"東浦町,",道路台帳,平板･修正,1000,3.3km,"愛知県東浦町
助言H19.11.27E0229",アジア航測(株),"H19.11.2
H20.3.18"
愛知県,"田原市,",総合計画,基準点,１級,4point,"田原市
助言H19.11.29E0233",栄土地測量設計(株),"H19.11.27
H20.2.28"
愛知県,"吉良町,",道路台帳,平板･修正,1000,6.2km,"愛知県吉良町
助言H19.11.30E0234",中日本航空測量(株),"H19.12.1
H20.3.21"
愛知県,"大府市,",道路台帳,平板･修正,1000,"0.1KM2,7.0km","愛知県大府市
助言H19.11.30E0235",アジア航測(株),"H19.10.31
H20.3.25"
愛知県,"岡崎市,",固定資産,カラー撮影,8000,387.2KM2,"愛知県岡崎市
助言H19.11.30E0236",アジア航測(株),"H19.12.1
H20.3.10"
愛知県,"甚目寺町,",道路計画,"基準点,路線,平板","４級,,,,500","13point,0.9km,0.1KM2","愛知県海部建設事務所
助言H19.12.6E0239",東洋測量設計(株),"H19.11.9
H20.3.20"
愛知県,"豊橋市,蒲郡市,田原市,音羽町,御津町,",その他,数値図化,2500,2.5KM2,"愛知県東三河建設事務所
助言H19.12.17E0242",アジア航測(株),"H19.12.12
H20.1.31"
愛知県,"東海市,",固定資産,カラー撮影,8000,43.4KM2,"愛知県東海市
助言H19.12.17E0250",アジア航測(株),"H19.10.25
H20.3.25"
愛知県,"甚目寺町,",道路台帳,"平板･修正,既成図数値化","1000,,1000","2.8km,79.5km","愛知県甚目寺町
助言H19.12.17E0251",アジア航測(株),"H19.12.1
H20.3.21"
愛知県,"豊橋市,",土地改良,"基準点,基準点,基準点","2級,,3級,,4級","2point,10point,0.2KM2","豊橋南部土地改良区
助言H19.12.19E0254","愛知県土地改良事業団体
連合会","H20.1.6
H20.3.21"
愛知県,"名古屋市,小牧市,春日井市,瀬戸市,",砂防計画,数値図化,2500,2.5KM2,"愛知県尾張建設事務所
助言H19.12.18E0255",中日本航空(株),"H19.10.1
H20.2.28"
愛知県,"瀬戸市,",道路台帳,平板･修正,500,"0.2KM2,6.9km","愛知県瀬戸市
助言H19.12.19E0256",アジア航測(株),"H19.12.7
H20.3.17"
愛知県,"東海市,",道路台帳,平板･修正,500,12.3km,"愛知県東海市
助言H19.12.19E0257",アジア航測(株),"H19.12.10
H20.3.31"
愛知県,"小牧市,",道路台帳,平板･修正,500,21.3km,"愛知県小牧市
助言H19.12.19E0258",アジア航測(株),"H19.12.7
H20.3.28"
愛知県,"西尾市,",その他,"カラー撮影,ディジタルオルソ","8000,,8000","75.8KM2,75.8KM2","愛知県西尾市
助言H20.1.7E0262",国際航業(株),"H19.7.2
H20.3.21"
愛知県,"碧南市,",その他,カラー撮影,地上:12cm,35.9KM2,"愛知県碧南市
助言H20.1.7E0264",アジア航測(株),"
H19.12.28

H20.3.21"
愛知県,"豊川市,音羽町,御津町,",その他,カラー撮影,地上:16cm,160.4KM2,"愛知県豊川市
助言H20.1.7E0265",アジア航測(株),"
H19.12.27

H20.3.28"
愛知県,"碧南市,",道路台帳,平板･修正,500,8.6KM2,"愛知県碧南市
助言H20.1.9E0267",アジア航測(株),"H19.11.30
H20.3.21"
