都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
宮崎県県境大分県,"延岡市,日之影町,高千穂町,県境佐伯市,",地盤高データ作成,"航空レーザ,航空レーザ","グラウンドデータ作成,,グリッドデータ(5m)作成","302.3KM2,390.3KM2","助言H21.5.13I0018九州地方整備局延岡河川国
道事務所",エイトコンサルタント,"H21.2.4
H21.10.30",
宮崎県,"綾町,野尻町,須木村,",砂防計画,"航空レーザ,航空レーザ,航空レーザ","レーザ計測,,グラウンドデータ作成,,グリッドデータ（1m,5m）","275KM2,209KM2,209KM2","助言H21.6.2I0037九州地方整備局　宮崎河川国
道事務所",アジア航測(株),"H21.6.2
H21.10.30",
宮崎県,"延岡市,日向市,西都市,西米良村,木城町,都農町,門川町,諸塚村,椎葉村,美郷町,日之影町,五ケ瀬町,",森林計画,カラー撮影,16000,1928KM2,助言H21.6.9I0046宮崎県,(株)中庭測量コンサルタント,"H21.5.15
H21.11.30",
宮崎県,"日向市,美郷町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","9KM2,9KM2",助言H21.7.22I0093宮崎県日向土木事務所,中日本航空(株)   ,"H21.6.9
H22.3.25",
宮崎県,"小林市,",土地区画整理,"基準点,基準点,平板","３級,,４級,,500","3point,28point,7.6KM2",助言H21.7.24I0100小林市,"株式会社　南九州都市開
発研究事務所","H21.7.24
H22.2.26",
宮崎県,"宮崎市,",土地改良,"基準点,基準点","２級,,４級","2point,0.1KM2",助言H21.8.4I0124宮崎県,"宮崎県土地改良事業団体
連合会","H21.8.4
H22.3.25",
宮崎県,"えびの市,",土地改良,"基準点,基準点","２級,,４級","11point,0.4KM2",助言H21.8.4I0125宮崎県,"宮崎県土地改良事業団体
連合会","H21.8.4
H22.3.25",
宮崎県,"小林市,",土地改良,"基準点,基準点","２級,,４級","5point,0.2KM2",助言H21.8.4I0126宮崎県,"宮崎県土地改良事業団体
連合会","H21.8.4
H22.3.25",
宮崎県,"高千穂町,日之影町,五ケ瀬町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","12KM2,23.5KM2",助言H21.8.11I0137宮崎県　西臼杵支庁,国際航業(株),"H21.7.8
H22.3.25",
宮崎県,"宮崎市,",砂防計画,"数値図化,ディジタルオルソ","2500,,２５㎝解像度","3KM2,9.2KM2",助言H21.8.25I0150宮崎県宮崎土木事務所,玉野総合コンサルタント(株),"H21.9.1
H22.3.25",
宮崎県,"宮崎市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","2.2KM2,6.6KM2",助言H21.8.25I0151宮崎県宮崎土木事務所,(株)建設技術研究所,"H21.9.1
H22.3.25",
宮崎県,"木城町,高鍋町,宮崎市,国富町,綾町,野尻町,都城市,",河川計画,"カラー撮影,同時調整",8000,"160KM2,248point","助言H21.9.1I0166九州地方整備局　宮崎河川国
道事務所",朝日航洋(株),"H21.9.1
H21.9.25",
宮崎県,"小林市,野尻町,高原町,",砂防計画,数値図化,2500,6.5KM2,助言H21.9.3I0180宮崎県小林土木事務所,(株)ウエスコ,"H21.9.1
H22.3.25",
宮崎県県境鹿児島県,"えびの市,県境薩摩川内市,さつま町,",河川管理,"航空レーザ,航空レーザ","グラウンドデータ作成,,グリッドデータ(5m)作成","132.4KM2,132.4KM2",助言H21.9.4I0182九州地方整備局　川内川河川,第一航業(株),"H21.2.3
H21.10.30",
宮崎県,"宮崎市,国富町,",砂防計画,"数値図化,ディジタルオルソ","2500,,25㎝","2.1KM2,3.7KM2",助言H21.9.10I0191宮崎県高岡土木事務所,玉野総合コンサルタント(株),"H21.8.17
H22.3.25",
