都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
愛知県,"豊橋市,",道路計画,"基準点測量,基準点測量","２級,,３級","1point,3point","愛知県豊橋市 
助言　　　H27.10.14  E0167",中部復建株式会社,"H27.10.19 
H28.3.18"
愛知県,"清須市,名古屋市,大治町,あま市,",地盤変動調査,水準測量,１級,16.1km,"中部地方整備局庄内川河川事
務所 
助言　　　H27.10.14  E0168","新晃コンサルタント株式
会社","H27.10.23 
H28.3.30"
愛知県,"岡崎市,",その他,"基準点測量,基準点測量,水準測量,水準測量","３級,,４級,,３級,,４級","1point,43point,2km,2km","岡崎市教育委員会 
助言　　　H27.10.20  E0173",株式会社相互技研,"H27.10.9 
H27.12.10"
愛知県,"刈谷市,",固定資産,"数値撮影(デジタル),同時調整,写真地図作成(デジタルオルソ)","9,,1000,,1000","50.39KM2,50.39KM2,50.39KM2","愛知県刈谷市 
助言　　　H27.10.19  E0177",朝日航洋株式会社,"H27.12.1 
H28.3.22"
愛知県,"東郷町,",道路計画,用地測量,500,0.028KM2,"愛知県愛知郡東郷町 
助言　　　H27.10.20  E0178",株式会社オオバ,"H27.10.1 
H28.3.18"
愛知県,"東海市,",総合計画,"数値撮影(デジタル),同時調整,写真地図作成(デジタルオルソ)","12,,1000,,1000","43.43KM2,43.43KM2,43.43KM2","愛知県東海市 
助言　　　H27.10.22  E0181",アジア航測株式会社,"H27.9.30 
H28.3.18"
愛知県,"安城市,",土地区画整理,基準点測量,３級,2point,"愛知県安城市 
助言　　　H27.10.22  E0182","玉野総合コンサルタント
株式会社","H27.10.15 
H28.3.15"
愛知県,"半田市,東浦町,南知多町,武豊町,",砂防計画,数値図化,2500,1KM2,"愛知県知多建設事務所 
助言　　　H27.10.22  E0186",株式会社アスコ,"H27.7.15 
H28.3.18"
愛知県,"南知多町,",道路管理,修正測量,1000,2.32km,"愛知県南知多町 
助言　　　H27.10.28  E0189","中日本航空測量株式会
社","H27.11.10 
H28.3.18"
愛知県,"名古屋市,津島市,愛西市,弥富市,蟹江町,飛島村,",河川計画,水準測量,３級,40km,"愛知県海部建設事務所長 
助言　　　H27.10.27  E0190",中日本航空株式会社,"H27.10.28 
H28.1.29"
愛知県,"犬山市,",砂防計画,数値図化,2500,0.57KM2,"愛知県一宮建設事務所 
助言　　　H27.10.29  E0193","基礎地盤コンサルタンツ
株式会社","H27.6.17 
H28.3.18"
愛知県,"高浜市,",固定資産,"数値撮影(デジタル),同時調整","16,,1000","13.11KM2,13.11KM2","愛知県高浜市 
助言　　　H27.10.29  E0194",株式会社パスコ,"H27.11.1 
H28.3.25"
愛知県,"田原市,",農地開発,基準点測量,３級,2point,"独立行政法人水資源機構豊川
用水総合事業部 
助言　　　H27.10.29  E0196","ＮＴＣコンサルタンツ株式
会社","H27.10.27 
H27.12.20"
愛知県,"犬山市,",砂防計画,"基準点測量,基準点測量","３級,,４級","2point,7point","愛知県一宮建設事務所 
助言　　　H27.11.9  E0203",藤コンサル株式会社,"H27.10.1 
H28.3.18"
愛知県,"一宮市,",基準点管理,"基準点測量,基準点測量","街区三角点,,街区多角点","1point,7point","愛知県一宮市 
助言　　　H27.11.9  E0206",久松測量設計株式会社,"H27.10.7 
H28.2.8"
愛知県,"豊橋市,",道路管理,修正測量,1000,17.5km,"愛知県豊橋市 
助言　　　H27.11.11  E0211",国際航業株式会社,"H27.10.5 
H27.12.4"
愛知県,"新城市,",農地開発,"基準点測量,数値撮影(デジタル),数値図化","２級,,8.2,,500","2point,1.29KM2,1.29KM2","独立行政法人水資源機構豊川
用水総合事業部 
助言　　　H27.11.13  E0213","ＮＴＣコンサルタンツ株式
会社","H27.11.20 
H28.3.25"
