都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期
北海道,"北斗市,七飯町,",土地改良,"基準点,基準点","２級,,３級","1point,1point",助言H20.12.25A0644函館開発建設部,(株)田西設計コンサル,"H21.1.5
H21.1.15"
北海道,"栗山町,",道路用地,基準点,３級,1point,助言H21.1.7A0645札幌開発建設部,(株)ユニオン・コンサルタント,"H20.12.27
H21.1.19"
北海道,"別海町,",土地改良,"基準点,基準点","２級,,３級","5point,8point",助言H21.1.7A0646北海道根室支庁,小林技術コンサルタント(株),"H20.12.25
H21.3.25"
北海道,"奥尻町,",道路用地,"基準点,基準点","１級,,３級","2point,2point",助言H21.1.7A0647北海道渡島支庁,(株)測土開発,"H20.12.23
H21.3.23"
北海道,"稚内市,",道路管理,基準点,１級,1point,助言H21.1.7A0648稚内開発建設部,グローバルプラネット(有),"H21.1.5
H21.1.20"
北海道,"上ノ国町,",道路計画,基準点,１級,10point,助言H21.1.7A0649北海道函館土木現業所,(株)シー・イー・サービス,"H20.12.23
H21.5.15"
北海道,"八雲町,",道路台帳,水準,３級,5point,助言H21.1.16A0650北海道渡島支庁,北海道土木設計(株),"H20.12.26
H21.3.19"
北海道,"大樹町,",道路管理,基準点,１級,2point,助言H21.1.16A0651北海道十勝支庁,(株)アリヤス設計コンサルタント,"H20.12.27
H21.2.20"
北海道,"江差町,",河川計画,基準点,３級,4point,助言H21.1.16A0652北海道渡島支庁,(株)ノース技研,"H20.12.25
H21.3.19"
北海道,"室蘭市,",道路防災,基準点,３級,1point,助言H21.1.16A0653北海道胆振支庁,(株)メイセイ・エンジニアリング,"H21.1.13
H21.2.28"
北海道,"むかわ町,",道路台帳,"基準点,基準点","３級,,４級","3point,3point",助言H21.1.16A0654北海道胆振支庁,(株)大久保測量,"H20.12.16
H21.2.20"
北海道,"厚岸町,",河川計画,基準点,３級,2point,助言H21.1.16A0655厚岸町,和光技研(株),"H21.1.9
H21.3.23"
北海道,"赤平市,",道路計画,基準点,３級,8point,助言H21.1.16A0656北海道石狩支庁,パブリックコンサルタント(株),"H21.1.8
H21.3.1"
北海道,"別海町,",道路計画,基準点,３級,6point,助言H21.1.16A0657北海道釧路支庁,ダイシン設計(株),"H20.12.23
H21.2.20"
北海道,"雄武町,",漁港整備,基準点,３級,2point,助言H21.1.20A0658北海道網走支庁,(有)網走測量設計社,"H20.11.26
H21.3.19"
北海道,"美瑛町,旭川市,",道路計画,"カラー撮影,数値図化,航空レーザ","8000,,1000,,1000","5.6KM2,1.4KM2,2.6KM2",助言H21.1.20A0659旭川開発建設部旭川道路事務所,(株)北海道朝日航洋,"H20.9.10
H21.1.30"
北海道,"岩見沢市,",土地改良,基準点,３級,7point,助言H21.1.20A0660札幌開発建設部,アルスマエヤ(株),"H21.1.14
H21.2.20"
北海道,"小清水町,",道路計画,"基準点,基準点,座標変換","１級,,２級,,１級","3point,6point,1point",助言H21.1.21A0661網走開発建設部網走道路事務所,(株)山腰測量設計事務所,"H20.11.13
H21.2.17"
北海道,"清里町,",土地改良,基準点,３級,44point,助言H21.1.21A0662網走開発建設部,(株)フロンティア技研,"H20.12.2
H21.2.15"
北海道,"釧路市,",河川管理,基準点,３級,1point,助言H21.1.21A0663釧路市,東邦コンサルタント(株),"H21.1.16
H21.2.20"
北海道,"新得町,",土地改良,基準点,１級,1point,助言H21.1.21A0664帯広開発建設部,北王コンサルタント(株),"H21.1.9
H21.3.23"
北海道,"鹿追町,",土地改良,基準点,３級,1point,助言H21.1.21A0665帯広開発建設部,サンスイコンサルタント(株),"H21.1.9
H21.1.30"
北海道,"鹿追町,",土地改良,基準点,３級,3point,助言H21.1.21A0666帯広開発建設部,(株)アルト技研,"H21.1.9
H21.1.30"
北海道,"鹿追町,",土地改良,基準点,３級,1point,助言H21.1.21A0667帯広開発建設部,(株)アルト技研,"H21.1.9
H21.1.30"
北海道,"函館市,北斗市,七飯町,",道路台帳,既成図数値化,1000,2.2KM2,助言H21.1.27A0668函館開発建設部,(株)道測テクニス,"H21.1.22
H21.3.16"
北海道,"浦河町,",道路用地,基準点,３級,3point,助言H21.1.27A0669北海道胆振支庁,(株)サッポロ・エンジニヤーズ,"H21.1.14
H21.3.30"
北海道,"新得町,",土地改良,基準点,１級,3point,助言H21.1.29A0670帯広開発建設部,NTCコンサルタンツ(株),"H21.1.8
H21.3.23"
北海道,"別海町,",基準点管理,座標変換,２級,214point,助言H21.1.29A0671別海町,北海航測(株),"H20.8.1
H21.3.31"
北海道,"壮瞥町,",道路用地,基準点,３級,2point,助言H21.2.2A0672壮瞥町,(株)シー・イー・サービス,"H21.1.27
H21.3.19"
北海道,"せたな町,",道路計画,"カラー撮影,水準,空三,数値図化","8000,,簡級,,,,1000","10.6KM2,11km,8M,1KM2",助言H21.2.2A0673北海道渡島支庁,北海航測(株),"H21.1.19
H21.3.19"
北海道,"広尾町,",道路用地,"基準点,基準点","１級,,２級","1point,2point",助言H21.2.2A0674帯広開発建設部広尾道路事務所,(株)シン技術コンサル,"H21.1.27
H21.3.23"
北海道,"せたな町,",道路防災,"基準点,基準点","２級,,３級","2point,4point",助言H21.2.12A0675北海道渡島支庁,(株)牧野測量,"H21.1.30
H21.3.2"
北海道,"共和町,",道路計画,"カラー撮影,水準,数値図化","15000,,簡級,,2500","73.9KM2,24km,33.5KM2",助言H21.2.12A0676北海道後志支庁,(株)シー・イー・サービス,"H20.9.19
H21.2.28"
北海道,"むかわ町,",河川計画,基準点,２級,2point,助言H21.2.12A0677室蘭開発建設部,日測技研(株),"H21.2.2
H21.3.10"
北海道,"名寄市,",砂防計画,基準点,３級,3point,助言H21.2.12A0678北海道上川支庁,エイコー技研(株),"H21.2.10
H21.3.23"
北海道,"旭川市,",道路計画,基準点,１級,2point,助言H21.2.12A0679北海道上川支庁,(株)国策測量設計,"H21.2.3
H21.3.19"
北海道,"浦幌町,",道路計画,基準点,３級,5point,助言H21.2.12A0680北海道十勝支庁,(株)シビテック,"H21.2.6
H21.3.23   "
北海道,"釧路市,",道路計画,"基準点,基準点","２級,,３級","3point,3point",助言H21.2.12A0681北海道釧路支庁,日本データーサービス(株),"H21.2.5
H21.3.23"
北海道,"厚真町,",道路用地,基準点,３級,3point,助言H21.2.13A0682北海道胆振支庁,(株)牧野測量,"H21.2.4
H21.3.19"
北海道,"浦河町,",道路台帳,基準点,２級,3point,助言H21.2.13A0683北海道胆振支庁,(株)細道コンサルタント,"H21.2.3
H21.3.23"
北海道,"洞爺湖町,",道路計画,"基準点,基準点","１級,,３級","2point,1point",助言H21.2.13A0684北海道胆振支庁,(株)メイセイ・エンジニアリング,"H21.2.4
H21.3.23"
北海道,"当別町,新十津川町,",道路計画,"基準点,基準点,標高補正","１級,,３級,,３級","1point,1point,1point",助言H21.2.13A0685札幌開発建設部,(株)ドーコン,"H21.2.9
H21.3.19"
北海道,"北見市,美幌町,",道路台帳,既成図数値化,500,2.4KM2,助言H21.2.13A0686網走開発建設部,(株)サンコー,"H21.1.17
H21.3.23"
北海道,"士別市,",砂防計画,"基準点,基準点,数値図化,撮影","１級,,３級,,1000,,8000","1point,7point,2KM2,12.3KM2",助言H21.2.16A0687北海道上川支庁,(株)日興ジオテック,"H21.2.16
H21.3.23"
北海道,"音更町,",道路計画,"基準点,基準点,基準点","１級,,２級,,３級","1point,2point,6point",助言H21.2.16A0688北海道十勝支庁,北海道土木設計(株),"H21.2.7
H21.3.23"
北海道,"釧路市,白糠町,",空港管理,カラー撮影,8000,13KM2,助言H21.2.16A0689釧路開発建設部釧路港湾事務所,(株)シン技術コンサル,"H20.10.20
H21.3.6"
北海道,"日高町,",海岸保全,基準点,１級,4point,助言H21.2.16A0690北海道胆振支庁,(株)山口技研コンサルタント,"H21.2.6
H21.3.25"
